symbol,feature,ic_trend_scan,p_trend_scan,ic_triple_barrier,p_triple_barrier,abs_ic_delta
BCHUSDT,max_dd_window_50,-0.00094,0.94321,-0.01547,0.24278,-0.01452
BCHUSDT,ema_spread_atr_20,-0.07934,0.0,-0.0302,0.02228,0.04914
BCHUSDT,ret_kurt_50,-0.01213,0.35976,-0.01549,0.24211,-0.00336
BCHUSDT,ret_skew_200,-0.09537,0.0,-0.05591,3e-05,0.03946
BCHUSDT,range_realized_vol_50,-0.00699,0.59752,0.01341,0.31143,-0.00641
BCHUSDT,hurst_diff_100_50,-0.01922,0.14934,0.0007,0.95841,0.01853
BCHUSDT,ret_kurt_200,-0.01332,0.31766,0.02513,0.05939,-0.01181
BCHUSDT,hurst_100,-0.06663,0.0,-0.01563,0.24099,0.051
BCHUSDT,btc_ret_14d,-0.01521,0.25151,0.02977,0.02479,-0.01456
BCHUSDT,ret_skew_50,-0.10066,0.0,-0.05276,7e-05,0.0479
BCHUSDT,vwap_dev_20,-0.04661,0.00042,0.01787,0.17666,0.02874
BCHUSDT,ret_autocorr_lag1_50,0.04253,0.00132,0.05332,6e-05,-0.01079
BCHUSDT,sym_vs_btc_ret_7d,-0.06805,0.0,-0.02806,0.03407,0.03999
BCHUSDT,regime_momentum_signed_5d,-0.06627,0.0,-0.00458,0.73145,0.06169
LDOUSDT,max_dd_window_50,-0.0193,0.31451,-0.02367,0.21732,-0.00437
LDOUSDT,ema_spread_atr_20,-0.12943,0.0,-0.10019,0.0,0.02924
LDOUSDT,ret_kurt_50,0.11011,0.0,0.09412,0.0,0.01599
LDOUSDT,ret_skew_200,-0.02934,0.13172,0.01652,0.396,0.01282
LDOUSDT,range_realized_vol_50,-0.02617,0.17273,0.00551,0.77416,0.02066
LDOUSDT,hurst_diff_100_50,0.03053,0.11671,0.01866,0.33763,0.01187
LDOUSDT,ret_kurt_200,0.00756,0.69758,-0.01448,0.4569,-0.00692
LDOUSDT,hurst_100,-0.03517,0.0707,-0.01672,0.39038,0.01845
LDOUSDT,btc_ret_14d,0.026,0.17365,0.03152,0.09897,-0.00552
LDOUSDT,ret_skew_50,-0.07594,7e-05,-0.06178,0.00128,0.01416
LDOUSDT,vwap_dev_20,-0.1147,0.0,-0.06204,0.00118,0.05266
LDOUSDT,ret_autocorr_lag1_50,0.07193,0.00018,0.0327,0.08845,0.03923
LDOUSDT,sym_vs_btc_ret_7d,-0.13198,0.0,-0.09623,0.0,0.03575
LDOUSDT,regime_momentum_signed_5d,-0.12566,0.0,-0.09181,0.0,0.03385
TRXUSDT,max_dd_window_50,0.02432,0.06765,-0.01555,0.24282,0.00877
TRXUSDT,ema_spread_atr_20,-0.05468,4e-05,-0.03716,0.00514,0.01752
TRXUSDT,ret_kurt_50,-0.03093,0.02013,-0.04905,0.00023,-0.01811
TRXUSDT,ret_skew_200,0.01941,0.14761,0.01926,0.15077,0.00015
TRXUSDT,range_realized_vol_50,-0.05288,7e-05,0.00348,0.79382,0.0494
TRXUSDT,hurst_diff_100_50,0.00676,0.614,0.02146,0.10935,-0.0147
TRXUSDT,ret_kurt_200,0.00402,0.76435,0.01379,0.30365,-0.00977
TRXUSDT,hurst_100,0.0017,0.899,-0.00408,0.76055,-0.00238
TRXUSDT,btc_ret_14d,-0.02854,0.03168,-0.01302,0.32692,0.01551
TRXUSDT,ret_skew_50,-0.03849,0.00383,-0.00583,0.66153,0.03266
TRXUSDT,vwap_dev_20,-0.03455,0.00934,-0.00745,0.57505,0.0271
TRXUSDT,ret_autocorr_lag1_50,0.01246,0.34937,-0.00751,0.57285,0.00495
TRXUSDT,sym_vs_btc_ret_7d,-0.01478,0.26675,-0.02234,0.09321,-0.00756
TRXUSDT,regime_momentum_signed_5d,-0.05075,0.00015,-0.03023,0.02405,0.02051
