symbol,mean_abs_ic_trend_scan,mean_abs_ic_triple_barrier,ratio,n_features_improved_of_14
BCHUSDT,0.04524,0.02559,1.7675,8
LDOUSDT,0.0667,0.04757,1.4022,11
TRXUSDT,0.02673,0.01787,1.4958,9
