symbol,ts_n_labeled,ts_long_share,ts_short_share,tb_n_labeled,tb_long_share,tb_short_share
BCHUSDT,5727,0.483,0.517,5727,0.4901,0.5099
LDOUSDT,2741,0.4608,0.5392,2741,0.4933,0.5067
TRXUSDT,5669,0.5964,0.4036,5669,0.5505,0.4495
