feature_name,mean_gain,importance_rank
vol_atr_14,20022.2216,1
trend_aroon_osc_50,15205.5739,2
btc_funding_spread_30_90,13504.3642,3
oi_delta_30_z90,12660.3541,4
trend_adx_14,12491.7734,5
stat_kurtosis_20,10917.1633,6
interact_natr_x_adx,10754.0157,7
stat_autocorr_lag5,10013.2439,8
stat_skew_20,9830.6648,9
mom_macd_line_12_26_9,7436.9095,10
eth_vs_btc_ret_ratio_30,6968.4422,11
vol_bb_bandwidth_20,6382.3746,12
vol_natr_14,6155.6889,13
mr_pct_from_low_20,5239.1287,14
long_short_zscore_30,5224.3025,15
vol_cmf_14,4711.5282,16
mom_macd_hist_12_26_9,3959.6814,17
mr_pct_from_high_20,3622.4242,18
interact_rsi_x_adx,3255.7385,19
funding_rate_zscore_30,3198.2712,20
vol_mfi_14,2950.5625,21
funding_rate_zscore_90,2907.7759,22
trend_plus_di_14,2819.2636,23
trend_minus_di_14,2497.6693,24
trend_aroon_osc_14,1690.8193,25
regime_momentum_signed_5d,1352.8589,26
interact_rsi_x_natr,1273.5437,27
interact_stoch_x_adx,1256.1274,28
mom_rsi_14,1116.6284,29
mom_willr_14,1018.2407,30
trend_ema_cross_5_12,954.1362,31
mom_stoch_d_14,920.3461,32
mom_roc_10,896.4371,33
vol_range_spike_72,812.4414,34
mom_stoch_k_14,652.1732,35
stat_return_5,602.199,36
trend_supertrend_14_3,596.8815,37
cal_dow_norm,559.6592,38
vol_taker_buy_ratio,495.0149,39
vol_volume_rel_20,304.3227,40
interact_ret1_x_natr,274.758,41
interact_ret1_x_ret3,245.2131,42
vol_range_spike_24,237.6058,43
vol_volume_pctchg_5,234.0793,44
stat_log_return_1,197.2132,45
mr_rsi_extreme_14,21.2956,46
cal_hour_norm,8.4183,47
dot_vs_btc_ret_ratio_30,0.0,48
