feature_set,dShACC_mean,dShACC_ci_lo,dShACC_ci_hi,dPnL_mean,dPnL_ci_lo,dPnL_ci_hi,n_tail_rows
+A,-0.00081,-0.03876,0.03955,-0.2713,-1.037,0.3826,1239
+D,0.00081,-0.03067,0.03309,-0.0231,-0.4189,0.3553,1239
+AD,-0.02421,-0.0686,0.01695,-0.5668,-1.4583,0.141,1239
