symbol,is_rows,is_first,is_last,tail_rows,long_label_frac
BCHUSDT,3247,2021-12-21,2025-03-23,505,0.4552
LDOUSDT,484,2024-09-11,2025-03-23,444,0.5517
TRXUSDT,3224,2022-01-04,2025-03-23,438,0.5533
