symbol,status,total_rows,is_rows_count,is_coverage_pct,hardblock_pass
BTCUSDT,PRESENT,6252,4994,87.2,PASS
ETHUSDT,PRESENT,4914,3626,63.3,PASS
LINKUSDT,PRESENT,4914,3626,63.9,PASS
LTCUSDT,PRESENT,4914,3626,63.8,PASS
DOTUSDT,PRESENT,4914,3626,72.2,PASS
