date,pnl_pct,trade_count
2022-01-05,7.9496,1
2022-01-12,-4.4107,1
2022-01-20,-0.3850,1
2022-02-01,6.4804,1
2022-02-02,-4.2571,1
2022-02-04,2.6266,1
2022-02-14,-0.3725,1
2022-02-17,-1.3023,1
2022-02-20,-1.5056,1
2022-02-24,-1.7121,1
2022-02-28,4.0957,1
2022-03-11,1.7987,1
2022-03-19,2.0745,1
2022-03-22,-1.2353,1
2022-03-24,-1.2258,1
2022-03-27,-1.1467,1
2022-04-01,1.9443,1
2022-04-06,2.1494,1
2022-04-10,-1.1962,1
2022-04-14,-1.2716,1
2022-04-19,1.9993,1
2022-04-21,-1.0808,1
2022-04-25,-1.2732,1
2022-04-26,2.1904,1
2022-04-30,-1.3379,1
2022-05-05,-1.1840,1
2022-05-20,0.0405,1
2022-05-28,-0.6522,1
2022-05-30,2.2368,1
2022-06-08,0.9305,1
2022-06-12,2.7475,1
2022-06-18,-3.3500,1
2022-06-27,2.0548,1
2022-06-29,-1.6965,1
2022-07-03,-1.8130,1
2022-07-07,2.9623,1
2022-07-12,3.1040,1
2022-07-14,-1.5315,1
2022-07-18,-1.5804,1
2022-07-19,-1.8725,1
2022-07-28,0.3523,1
2022-08-06,1.7457,1
2022-08-11,1.9676,1
2022-08-13,-1.2296,1
2022-08-17,2.0889,1
2022-08-19,-1.0466,1
2022-08-26,-1.2778,1
2022-09-05,0.6073,1
2022-09-06,-1.0012,1
2022-09-09,-1.1933,1
2022-09-13,2.2288,1
2022-09-23,1.5471,1
2022-09-27,-1.6172,1
2022-09-28,-1.6423,1
2022-10-04,-1.5565,1
2022-10-08,-1.0716,1
2022-10-22,-0.0696,1
2022-10-25,1.2366,1
2022-11-04,-0.8098,1
2022-11-08,1.6858,1
2022-11-19,0.6669,1
2022-11-21,2.0958,1
2022-11-30,-1.1534,1
2022-12-05,-0.8867,1
2022-12-09,-0.7284,1
2022-12-13,-0.5661,1
2022-12-16,1.5251,1
2022-12-28,0.3231,1
2023-01-02,-0.4937,1
2023-01-04,-0.4422,1
2023-01-09,0.7477,1
2023-01-10,-0.4327,1
2023-01-20,-1.1358,1
2023-01-25,-1.1566,1
2023-01-29,-1.1481,1
2023-02-01,-1.0768,1
2023-02-09,2.0693,1
2023-02-15,-0.8051,1
2023-02-25,1.8567,1
2023-02-27,-1.0821,1
2023-03-01,-1.0170,1
2023-03-03,1.9724,1
2023-03-08,-1.0949,1
2023-03-12,2.5181,1
2023-03-17,-1.8380,1
2023-03-29,0.9422,1
2023-04-06,0.1686,1
2023-04-10,-0.9781,1
2023-04-19,1.5938,1
2023-04-26,-1.0428,1
2023-05-04,0.2785,1
2023-05-08,1.9585,1
2023-05-12,-1.0611,1
2023-05-20,0.0557,1
2023-05-25,1.3046,1
2023-05-28,1.4241,1
2023-06-05,1.4421,1
2023-06-14,1.0658,1
2023-06-16,1.7536,1
2023-07-05,0.5989,1
2023-07-06,-0.7570,1
2023-07-13,-0.9445,1
2023-07-24,1.2795,1
2023-08-08,-1.4501,1
2023-08-17,0.9117,1
2023-08-24,-2.3959,1
2023-08-29,1.4320,1
2023-09-11,0.1237,1
2023-09-21,1.0842,1
2023-10-01,-0.6568,1
2023-10-06,-0.8274,1
2023-10-11,1.2903,1
2023-10-15,-0.6395,1
2023-10-20,1.8155,1
2023-11-01,-0.9430,1
2023-11-09,2.0556,1
2023-11-14,-1.0883,1
2023-11-23,0.0262,1
2023-12-01,-0.6650,1
2023-12-03,1.3317,1
2023-12-11,-0.9569,1
2023-12-19,0.8447,1
2023-12-26,-0.9009,1
2023-12-28,-0.8875,1
2024-01-02,1.7919,1
2024-01-03,1.7502,1
2024-01-05,-1.4040,1
2024-01-09,2.7660,1
2024-01-18,-1.3484,1
2024-01-22,-1.1896,1
2024-01-28,2.0472,1
2024-02-05,0.7536,1
2024-02-08,1.3352,1
2024-02-11,-0.8427,1
2024-02-14,-1.0421,1
2024-02-20,-0.8192,1
2024-02-26,-1.0042,1
2024-04-02,-3.0807,1
2024-04-12,-3.3500,1
2024-04-29,-3.5506,1
2024-04-30,-3.2014,1
2024-05-14,0.2252,1
2024-05-15,-2.9275,1
2024-05-20,-1.0332,1
2024-05-23,-0.9942,1
2024-05-31,-0.5714,1
2024-06-04,1.5524,1
2024-06-11,1.4991,1
2024-06-12,-0.7895,1
2024-06-18,-0.9858,1
2024-06-23,-0.8941,1
2024-07-01,-0.9032,1
2024-07-03,1.4125,1
2024-07-13,0.8690,1
2024-07-15,-1.1388,1
2024-07-20,2.3140,1
2024-07-24,-1.0213,1
2024-07-26,-1.0854,1
2024-07-31,1.8146,1
2024-08-15,-1.5978,1
2024-08-23,2.9850,1
2024-08-27,-1.0906,1
2024-09-01,-1.2178,1
2024-09-04,-1.0962,1
2024-09-06,-1.2269,1
2024-09-13,2.4661,1
2024-09-18,-1.0136,1
2024-09-26,-1.0828,1
2024-09-30,-0.8695,1
2024-10-01,1.3962,1
2024-10-06,-1.0767,1
2024-10-10,1.6401,1
2024-10-14,-0.9685,1
2024-10-15,-0.9058,1
2024-10-20,-0.8914,1
2024-10-24,-0.7590,1
2024-10-28,-0.9476,1
2024-11-03,1.5638,1
2024-11-06,-0.9842,1
2024-11-11,-1.0004,1
2024-12-04,-1.1430,1
2024-12-19,-2.9903,1
2025-01-03,5.7137,1
2025-01-07,4.4114,1
2025-01-09,-3.3510,1
2025-01-15,-1.1798,1
2025-01-19,2.0086,1
2025-02-03,2.5309,1
2025-02-19,-0.0839,1
2025-02-24,-0.7304,1
2025-03-24,4.1033,1
