family_a,family_b,ic_mean_fisher,ic_median,ic_iqr_low,ic_iqr_high,n_features_a,n_features_b
calendar,calendar,-0.007829,-0.007829,-0.008123,-0.007534,2,2
calendar,interaction,-0.003335,-0.003335,nan,nan,2,6
calendar,mean_reversion,-0.009237,-0.009237,nan,nan,2,26
calendar,momentum,0.004796,0.004796,nan,nan,2,36
calendar,statistical,-0.012303,-0.012303,nan,nan,2,24
calendar,trend,0.000892,0.000892,nan,nan,2,39
calendar,volatility,-0.009114,-0.009114,nan,nan,2,40
calendar,volume,-0.000154,-0.000154,nan,nan,2,20
interaction,interaction,0.004120,0.000472,-0.006549,0.015925,6,6
interaction,mean_reversion,0.245909,0.245909,nan,nan,6,26
interaction,momentum,0.216978,0.216978,nan,nan,6,36
interaction,statistical,0.010195,0.010195,nan,nan,6,24
interaction,trend,-0.001039,-0.001039,nan,nan,6,39
interaction,volatility,0.366045,0.366045,nan,nan,6,40
interaction,volume,0.034153,0.034153,nan,nan,6,20
mean_reversion,mean_reversion,-0.003531,-0.004478,-0.008204,0.000489,26,26
mean_reversion,momentum,0.887421,0.887421,nan,nan,26,36
mean_reversion,statistical,0.203694,0.203694,nan,nan,26,24
mean_reversion,trend,0.023931,0.023931,nan,nan,26,39
mean_reversion,volatility,0.019911,0.019911,nan,nan,26,40
mean_reversion,volume,0.065601,0.065601,nan,nan,26,20
momentum,momentum,-0.009323,-0.007991,-0.014106,-0.004281,36,36
momentum,statistical,0.236803,0.236803,nan,nan,36,24
momentum,trend,0.011254,0.011254,nan,nan,36,39
momentum,volatility,-0.008002,-0.008002,nan,nan,36,40
momentum,volume,0.051084,0.051084,nan,nan,36,20
statistical,statistical,-0.005272,-0.004717,-0.006556,0.001812,24,24
statistical,trend,-0.120089,-0.120089,nan,nan,24,39
statistical,volatility,-0.205133,-0.205133,nan,nan,24,40
statistical,volume,-0.133063,-0.133063,nan,nan,24,20
trend,trend,-0.004238,-0.006352,-0.017053,0.006118,39,39
trend,volatility,0.852362,0.852362,nan,nan,39,40
trend,volume,0.979888,0.979888,nan,nan,39,20
volatility,volatility,0.008278,0.010893,-0.000107,0.014726,40,40
volatility,volume,0.850314,0.850314,nan,nan,40,20
volume,volume,-0.004334,-0.000448,-0.010371,0.002446,20,20
