metric,in_sample,out_of_sample,ratio
sharpe,0.3338,0.5729,1.7165
sortino,0.3966,0.7204,1.8166
max_drawdown,72.05%,59.18%,0.8214
win_rate,40.5%,40.5%,1.0008
profit_factor,1.0627,1.1089,1.0435
total_trades,842,301,0.3575
calmar_ratio,0.9289,0.7158,0.7706
dsr,-74.5739,-34.9585,0.4688
total_net_pnl,66.9263,42.3618,0.6330
psr_monthly_vs_0,0.721227,0.807858,1.1201
psr_monthly_vs_1,0.125242,0.417267,3.3317
psr_daily_vs_0,0.727974,0.736358,1.0115
n_effective_trials,9,9,1.0000
n_eff_per_cell_median,9,9,1.0000
r5_fire_rate_is,0.000000,0.000000,—
r5_fire_rate_oos,0.000000,0.000000,—
r5_binary_kill_fire_rate_is,0.000000,0.000000,—
r5_binary_kill_fire_rate_oos,0.000000,0.000000,—
