year,BCHUSDT,LDOUSDT,MKRUSDT,TRXUSDT,TOTAL
2022,15.7653,0.0000,9.6544,3.9769,29.3966
2023,-10.7579,0.0000,-10.0174,7.4124,-13.3629
2024,38.7000,24.3350,-96.0493,3.0759,-29.9384
2025,-1.7920,22.3356,-26.6783,10.2427,4.1080
TOTAL,41.9154,46.6706,-123.0906,24.7079,-9.7967
