symbol,first_close,last_close,is_n_candles,is_expected_n_candles,is_coverage_pct,is_max_gap_hours,is_n_gaps_gt_1d,passes_listing_floor,v2_dead_path,is_ret_mean_8h,is_ret_std_8h,is_ret_skew,is_ret_kurt,is_sigma_annual_pct,is_mu_annual_pct,is_max_dd_pct,is_avg_daily_quote_vol_musdt
RUNEUSDT,2020-09-04,2025-03-23,4986,4986,100.0,8.0,0,True,False,1.3312,4.2717,-0.1999,5.4088,141.35,14.58,-96.12,102.93
SUSHIUSDT,2020-09-04,2025-03-23,4971,4986,99.7,80.0,2,True,False,-3.9899,4.2371,-0.1118,15.9998,140.21,-43.69,-97.83,109.59
CRVUSDT,2020-09-01,2025-03-23,4995,4995,100.0,8.0,0,True,False,-4.5959,4.2295,-0.1381,5.0922,139.96,-50.32,-96.87,140.99
GALAUSDT,2021-09-18,2025-03-23,3849,3849,100.0,8.0,0,True,False,-4.7773,3.9436,1.0228,9.9884,130.5,-52.31,-98.3,275.56
SANDUSDT,2021-01-25,2025-03-23,4542,4557,99.67,80.0,2,True,False,2.4139,3.9146,0.731,11.3787,129.54,26.43,-97.18,258.46
GRTUSDT,2020-12-19,2025-03-23,4653,4668,99.68,80.0,2,True,False,-2.6539,3.8598,0.3196,6.6753,127.72,-29.06,-98.06,73.44
SNXUSDT,2020-08-14,2025-03-23,5049,5049,100.0,8.0,0,True,False,-3.672,3.8588,0.0809,5.497,127.69,-40.21,-97.13,52.25
ZRXUSDT,2020-06-24,2025-03-23,5201,5201,100.0,8.0,0,True,False,-0.4935,3.7215,0.6638,11.201,123.15,-5.4,-93.69,38.58
CHZUSDT,2021-01-21,2025-03-23,4569,4569,100.0,8.0,0,True,False,1.5899,3.7114,0.8445,13.113,122.81,17.41,-95.35,139.93
DYDXUSDT,2021-09-10,2025-03-23,3873,3873,100.0,8.0,0,True,False,-7.4695,3.6413,0.0192,6.728,120.49,-81.79,-97.95,170.35
ENJUSDT,2020-09-29,2025-03-23,4911,4911,100.0,8.0,0,True,False,-1.3614,3.6339,0.3562,7.816,120.25,-14.91,-98.17,56.78
JASMYUSDT,2022-04-20,2025-03-23,3207,3207,100.0,8.0,0,True,False,-1.8928,3.6005,0.4455,6.5088,119.14,-20.73,-89.54,72.88
KAVAUSDT,2020-07-28,2025-03-23,5100,5100,100.0,8.0,0,True,False,-3.2113,3.5998,-0.2124,5.3751,119.12,-35.16,-96.92,47.01
COMPUSDT,2020-06-30,2025-03-23,5183,5183,100.0,8.0,0,True,False,-3.1591,3.5477,0.4474,7.3215,117.4,-34.59,-97.01,55.35
MANAUSDT,2021-03-15,2025-03-23,4395,4410,99.66,80.0,2,True,False,-3.1129,3.4975,1.2044,19.6611,115.74,-34.09,-95.74,171.26
UNIUSDT,2020-09-18,2025-03-23,4944,4944,100.0,8.0,0,True,False,0.4074,3.489,0.6811,12.2063,115.45,4.46,-91.98,142.09
