month,BCHUSDT,LDOUSDT,MKRUSDT,TRXUSDT,TOTAL
2025-03,0,0,1,0,1
2025-04,5,0,1,1,7
2025-05,2,2,4,0,8
2025-06,4,1,4,3,12
2025-07,3,2,1,2,8
2025-08,3,3,2,4,12
2025-09,1,0,2,2,5
2025-10,3,1,0,4,8
2025-11,1,0,0,4,5
2025-12,1,0,0,0,1
2026-01,1,2,0,1,4
2026-02,0,0,0,3,3
2026-03,1,0,0,3,4
2026-04,0,2,0,2,4
2026-05,0,0,0,1,1
TOTAL,25,13,15,30,83
