month,pnl_pct,trade_count
2022-01,9.9823,3
2022-02,-14.7058,2
2022-03,-6.0953,1
2022-05,-7.5799,2
2022-06,13.4682,2
2022-07,0.5077,5
2022-08,4.8613,4
2022-09,1.9063,4
2022-10,-2.5780,4
2022-11,1.7290,2
2022-12,-1.6167,2
2023-01,1.4251,1
2023-02,3.5958,2
2023-03,-7.3593,3
2023-04,-5.3110,4
2023-06,0.8207,3
2023-07,1.3316,5
2023-08,0.7873,2
2023-10,2.9827,6
2023-11,-4.4801,6
2023-12,0.9475,4
2024-01,2.3304,4
2024-02,-0.1571,4
2024-04,4.7137,3
2024-05,2.0643,4
2024-06,-2.8500,6
2024-07,3.5851,5
2024-08,1.5424,3
2024-09,-0.2513,6
2024-10,2.7066,7
2024-11,-4.7521,5
2024-12,-3.5356,2
2025-01,6.3210,4
2025-02,-6.8544,2
