sample,pair_a,pair_b,pearson,spearman,abs_pearson_ge_0p50,abs_spearman_ge_0p50
in_sample,A_btc_approx,C_link_spec,-0.2286,-0.0570,NO,NO
in_sample,A_btc_approx,D_ltc,-0.2039,-0.0219,NO,NO
in_sample,A_btc_approx,E_dot,-0.0052,+0.0121,NO,NO
in_sample,A_btc_approx,G_eth_spec,+0.0419,+0.0970,NO,NO
in_sample,C_link_spec,D_ltc,-0.0098,-0.0668,NO,NO
in_sample,C_link_spec,E_dot,+0.1212,-0.0047,NO,NO
in_sample,C_link_spec,G_eth_spec,-0.2471,-0.1954,NO,NO
in_sample,D_ltc,E_dot,-0.0339,-0.1002,NO,NO
in_sample,D_ltc,G_eth_spec,-0.1550,-0.1692,NO,NO
in_sample,E_dot,G_eth_spec,+0.2359,+0.1622,NO,NO
out_of_sample,A_btc_approx,C_link_spec,+0.2953,+0.1147,NO,NO
out_of_sample,A_btc_approx,D_ltc,-0.0967,-0.2493,NO,NO
out_of_sample,A_btc_approx,E_dot,+0.2676,+0.1900,NO,NO
out_of_sample,A_btc_approx,G_eth_spec,-0.1987,-0.1331,NO,NO
out_of_sample,C_link_spec,D_ltc,+0.2257,+0.2341,NO,NO
out_of_sample,C_link_spec,E_dot,+0.6027,+0.4250,YES,NO
out_of_sample,C_link_spec,G_eth_spec,+0.1418,+0.3047,NO,NO
out_of_sample,D_ltc,E_dot,+0.0648,-0.0822,NO,NO
out_of_sample,D_ltc,G_eth_spec,+0.1691,+0.0466,NO,NO
out_of_sample,E_dot,G_eth_spec,-0.4732,-0.4767,NO,NO
