pair,pearson_is,pearson_oos,pearson_combined,spearman_is,spearman_oos,spearman_combined,threshold,pass,n_months_is,n_months_oos
pool_minus_LINK_ETH x LINK_specialist,-0.0854,+0.4935,+0.0685,-0.1310,+0.4750,+0.0162,0.50,True,39,15
pool_minus_LINK_ETH x ETH+gate_specialist,-0.0085,-0.1412,-0.0516,+0.1456,-0.0430,+0.0196,0.50,True,39,15
