symbol,n_is_obs,mean,std,min,p5,p25,median,p75,p95,max,skewness,kurtosis,pct_negative,pct_positive
BCHUSDT,5528,-0.005639155485829337,0.0908801720434756,-0.49354371234004024,-0.1783931156047586,-0.052214352760995925,0.008343842001133805,0.05403854407248199,0.1215830870015628,0.23063667038087876,-0.9260934828649018,1.5837164935109227,0.4560419681620839,0.543958031837916
LDOUSDT,2542,0.010496552009035912,0.083971230816329,-0.38627381365027014,-0.15029021168800205,-0.037223974449037106,0.02551527651378016,0.0699461747279074,0.12260329560313642,0.241201314585213,-0.8066878565826469,0.8019658592858532,0.37647521636506687,0.6235247836349331
TRXUSDT,5470,0.00022751367269755235,0.08804278856008517,-0.458170657618894,-0.1704387171879791,-0.045244548879053464,0.012699728405493438,0.06069803792409517,0.11961210101130784,0.24632669096650872,-0.8843873246895381,1.2418226542497637,0.4376599634369287,0.5623400365630713
ALGOUSDT,5026,-0.004934097951331076,0.08620116689992235,-0.4434472443028037,-0.17496490281477423,-0.044857795455565064,0.008590353638598003,0.05379309429099985,0.11173166946509466,0.1945663385588301,-0.9317373562716692,1.1227688070205835,0.45582968563469956,0.5441703143653004
