symbol,feature,n_obs,spearman_rho,spearman_p,significant_at_p005
BCHUSDT,hurst_drift_50_200,5528,0.0041094649836733365,0.7600058877362078,False
BCHUSDT,regime_momentum_signed_5d,5528,-0.020099637467918405,0.13511512161954414,False
BCHUSDT,hurst_diff_100_50,5528,-0.003970613012548298,0.7678781128416323,False
BCHUSDT,hurst_100,5528,-0.010901380808155696,0.417730929661081,False
LDOUSDT,hurst_drift_50_200,2542,0.011795768108654058,0.5522110687638481,False
LDOUSDT,regime_momentum_signed_5d,2542,-0.03575680337196681,0.07146910971451334,False
LDOUSDT,hurst_diff_100_50,2542,-0.008462539355300915,0.6697696217156114,False
LDOUSDT,hurst_100,2542,0.011284249326571813,0.5695798485952966,False
TRXUSDT,hurst_drift_50_200,5470,0.011207103585778215,0.4072697775147863,False
TRXUSDT,regime_momentum_signed_5d,5470,-0.038682161980052684,0.004218698642121793,True
TRXUSDT,hurst_diff_100_50,5470,-0.004283268159269078,0.7514581941302495,False
TRXUSDT,hurst_100,5470,0.004450766380124189,0.7420781201501763,False
ALGOUSDT,hurst_drift_50_200,5026,0.018614412957251584,0.18702151934107106,False
ALGOUSDT,regime_momentum_signed_5d,5026,-0.01729911702608217,0.2201252000437858,False
ALGOUSDT,hurst_diff_100_50,5026,-0.007701505002301137,0.5851587409061779,False
ALGOUSDT,hurst_100,5026,0.016559304901049315,0.24049574205010713,False
