symbol,n_is_obs,adf_stat,adf_p_value,stationary_at_p005
BCHUSDT,5528,-11.702889232703173,1.5534270381937547e-21,True
LDOUSDT,2542,-9.29884831909321,1.1267338536738946e-15,True
TRXUSDT,5470,-11.605586250029347,2.5858886732894694e-21,True
ALGOUSDT,5026,-10.824308878181803,1.7728895073071698e-19,True
