symbol,feature,n_obs,mean,std,skewness,kurtosis,autocorr_lag1
BCHUSDT,hurst_drift_50_200,5528,-0.005639155485829337,0.0908801720434756,-0.9260934828649018,1.5837164935109227,0.9385248652086496
BCHUSDT,hurst_100,5628,1.0105810345776371,0.04860588266486891,-1.0023292076803405,1.319511288673418,0.9706779975104411
BCHUSDT,hurst_200,5528,1.0124435603181619,0.03215480247274695,-0.5586346460634612,0.558050943838182,0.9672631304155256
BCHUSDT,hurst_diff_100_50,5628,0.003090007858978685,0.09906975997284377,0.7959777703771719,1.2904709851778682,0.951443565339304
LDOUSDT,hurst_drift_50_200,2542,0.010496552009035912,0.083971230816329,-0.8066878565826469,0.8019658592858532,0.9345240640714215
LDOUSDT,hurst_100,2642,1.0011981534817547,0.046470770232871134,-1.087855003684899,2.273751901998309,0.9692315674720745
LDOUSDT,hurst_200,2542,1.0031710578870823,0.028949886070236967,-0.43623943117866487,0.558914524315842,0.9658004602993756
LDOUSDT,hurst_diff_100_50,2642,-0.013491593614116476,0.09205918151982644,0.6566197504400846,0.6017734764617964,0.9490028277996824
TRXUSDT,hurst_drift_50_200,5470,0.00022751367269755235,0.08804278856008517,-0.8843873246895381,1.2418226542497637,0.9330862258981568
TRXUSDT,hurst_100,5570,0.9967120360198412,0.05626668393335492,-1.4135115767642472,2.811429824143344,0.9764727071841537
TRXUSDT,hurst_200,5470,0.9997402003301795,0.0379909408797994,-0.8643848041037384,0.9131323764557688,0.9753217823766386
TRXUSDT,hurst_diff_100_50,5570,-0.004232777656917663,0.0994312775052318,0.41803099317716813,0.9389519227913468,0.9507089198914968
ALGOUSDT,hurst_drift_50_200,5026,-0.004934097951331076,0.08620116689992235,-0.9317373562716692,1.1227688070205835,0.9353011629937852
ALGOUSDT,hurst_100,5126,1.007348120581818,0.04815483943667588,-0.8613808996595812,0.6744878068940299,0.9745023011129619
ALGOUSDT,hurst_200,5026,1.0091285490418027,0.032985052900371716,-0.5147937473888737,0.17528811225834584,0.976012768134462
ALGOUSDT,hurst_diff_100_50,5126,0.0030907011357726184,0.09354116444700937,0.7771701168261663,1.0207984321799604,0.9492395566924937
