symbol,existing_feature,ic_pearson,abs_ic,is_source_primitive
BCHUSDT,hurst_diff_100_50,-0.8807468674111968,0.8807468674111968,True
ALGOUSDT,hurst_diff_100_50,-0.874116587370903,0.874116587370903,True
LDOUSDT,hurst_diff_100_50,-0.8602095883395368,0.8602095883395368,True
TRXUSDT,hurst_diff_100_50,-0.8528461069728206,0.8528461069728206,True
TRXUSDT,hurst_200,-0.32233507306420434,0.32233507306420434,True
LDOUSDT,hurst_200,-0.28673624680442744,0.28673624680442744,True
BCHUSDT,hurst_200,-0.274527450044176,0.274527450044176,True
ALGOUSDT,hurst_200,-0.24131377598248263,0.24131377598248263,True
LDOUSDT,ret_skew_50,0.19327110620725493,0.19327110620725493,False
TRXUSDT,hurst_100,-0.1683009930339024,0.1683009930339024,True
LDOUSDT,vwap_dev_20,0.12683204298067216,0.12683204298067216,False
BCHUSDT,hurst_100,-0.11418195702015976,0.11418195702015976,True
LDOUSDT,regime_momentum_signed_5d,0.11231193189541833,0.11231193189541833,False
BCHUSDT,ema_spread_atr_20,0.10144890423675405,0.10144890423675405,False
TRXUSDT,btc_ret_14d,0.10136819944323405,0.10136819944323405,False
LDOUSDT,ret_kurt_200,-0.09433744452562717,0.09433744452562717,False
LDOUSDT,ret_skew_200,0.0918705702795694,0.0918705702795694,False
LDOUSDT,hurst_100,-0.09006975401840799,0.09006975401840799,True
ALGOUSDT,regime_momentum_signed_5d,0.08880977523962005,0.08880977523962005,False
BCHUSDT,ret_kurt_50,-0.08849163434169469,0.08849163434169469,False
