symbol,n_is_obs,intercept,coef_hurst_100,coef_hurst_diff_100_50,coef_hurst_200,r_squared,rmse,max_abs_residual
BCHUSDT,5528,-2.5753948617026183e-16,0.9999999999999997,-1.0,-1.0000000000000002,1.0,8.901772241125326e-16,9.506284648352903e-16
LDOUSDT,2542,8.493117603913724e-16,1.0000000000000004,-1.0000000000000002,-1.0000000000000004,1.0,8.491515366029445e-16,9.43689570931383e-16
TRXUSDT,5470,-5.088631358532067e-18,1.0000000000000002,-1.0,-1.0,1.0,2.197172134930639e-16,2.220446049250313e-16
ALGOUSDT,5026,2.5935901526391255e-15,0.9999999999999993,-0.9999999999999996,-1.0000000000000013,1.0,5.934079321305463e-16,8.881784197001252e-16
