family_a,family_b,ic_mean_fisher,ic_median,ic_iqr_low,ic_iqr_high,n_features_a,n_features_b
calendar,calendar,-0.007829,-0.007829,-0.008123,-0.007534,2,2
calendar,interaction,-0.003335,-0.003335,nan,nan,2,6
calendar,mean_reversion,0.023271,0.023271,nan,nan,2,26
calendar,momentum,0.000294,0.000294,nan,nan,2,36
calendar,statistical,-0.002045,-0.002045,nan,nan,2,24
calendar,trend,-0.015156,-0.015156,nan,nan,2,39
calendar,volatility,-0.000581,-0.000581,nan,nan,2,40
calendar,volume,-0.018715,-0.018715,nan,nan,2,20
interaction,interaction,0.004120,0.000472,-0.006549,0.015925,6,6
interaction,mean_reversion,0.061128,0.061128,nan,nan,6,26
interaction,momentum,0.187490,0.187490,nan,nan,6,36
interaction,statistical,0.002829,0.002829,nan,nan,6,24
interaction,trend,0.262696,0.262696,nan,nan,6,39
interaction,volatility,0.354656,0.354656,nan,nan,6,40
interaction,volume,0.206312,0.206312,nan,nan,6,20
mean_reversion,mean_reversion,-0.011792,-0.015386,-0.016912,-0.008468,26,26
mean_reversion,momentum,0.161212,0.161212,nan,nan,26,36
mean_reversion,statistical,-0.043474,-0.043474,nan,nan,26,24
mean_reversion,trend,-0.001975,-0.001975,nan,nan,26,39
mean_reversion,volatility,0.049612,0.049612,nan,nan,26,40
mean_reversion,volume,0.111751,0.111751,nan,nan,26,20
momentum,momentum,-0.008220,-0.004992,-0.014036,-0.003383,36,36
momentum,statistical,0.182529,0.182529,nan,nan,36,24
momentum,trend,0.797049,0.797049,nan,nan,36,39
momentum,volatility,-0.019191,-0.019191,nan,nan,36,40
momentum,volume,0.735326,0.735326,nan,nan,36,20
statistical,statistical,-0.006198,-0.006272,-0.006556,0.001754,24,24
statistical,trend,0.165705,0.165705,nan,nan,24,39
statistical,volatility,-0.124201,-0.124201,nan,nan,24,40
statistical,volume,0.142081,0.142081,nan,nan,24,20
trend,trend,0.001884,-0.001738,-0.009130,0.009680,39,39
trend,volatility,-0.080345,-0.080345,nan,nan,39,40
trend,volume,0.686782,0.686782,nan,nan,39,20
volatility,volatility,0.007125,0.009007,0.001210,0.012975,40,40
volatility,volume,-0.066950,-0.066950,nan,nan,40,20
volume,volume,-0.001825,0.001118,-0.003653,0.002947,20,20
