design,d_acc_mean,d_acc_ci_lo,d_acc_ci_hi,d_pnl_mean,n_syms_positive,bch_d_acc,ldo_d_acc,trx_d_acc
W1,-0.00741,-0.02546,0.00694,-0.66348,1,-0.00694,-0.03195,0.01667
W2,0.02176,0.0088,0.03333,0.14988,3,0.01389,0.01111,0.04028
W3,0.02037,-0.00509,0.03982,-0.04174,2,0.03611,-0.00278,0.02778
W4,0.01898,-0.0037,0.03843,-0.13216,2,0.02917,-0.01111,0.03889
