symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence,component_id
LINKUSDT,1,20.042000,23.397365,1.0000,1641052799999,1641254399999,take_profit,3.34834,0.1000,3.32834,3.32834,18.364317,23.397365,1641657599999,0.817793,C-LINK
LTCUSDT,1,151.330000,143.835904,1.0000,1641139199999,1641427199999,stop_loss,-0.99044,0.1000,-1.01044,-1.01044,143.835904,166.318193,1641743999999,0.789859,C-LTC
LINKUSDT,-1,25.379000,28.302319,1.0000,1641513599999,1641772799999,stop_loss,-2.30374,0.1000,-2.32374,-2.32374,28.302319,19.532362,1642118399999,0.733096,C-LINK
LTCUSDT,1,131.360000,121.498833,1.0000,1641599999999,1641830399999,stop_loss,-1.5014,0.1000,-1.5214,-1.5214,121.498833,151.082333,1642204799999,0.940075,C-LTC
LTCUSDT,1,129.190000,146.760880,1.0000,1641916799999,1642233599999,take_profit,2.72016,0.1000,2.70016,2.70016,120.404560,146.760880,1642521599999,0.908876,C-LTC
LINKUSDT,1,25.902000,22.730820,1.0000,1641974399999,1642521599999,stop_loss,-2.4486,0.1000,-2.4686,-2.4686,22.730820,32.244360,1642579199999,0.677309,C-LINK
ETHUSDT,-1,3360.560000,3059.358563,1.0000,1642262399999,1642579199999,take_profit,1.79256,0.1000,1.77256,1.77256,3511.160719,3059.358563,1642867199999,,C-ETH
LTCUSDT,1,141.340000,131.437929,1.0000,1642550399999,1642723199999,stop_loss,-1.40118,0.1000,-1.42118,-1.42118,131.437929,161.144142,1643155199999,0.768405,C-LTC
LINKUSDT,-1,21.945000,17.646859,1.0000,1642607999999,1642809599999,take_profit,3.9172,0.1000,3.8972,3.8972,24.094070,17.646859,1643212799999,0.783882,C-LINK
LINKUSDT,-1,14.960000,17.657161,1.0000,1643097599999,1643529599999,stop_loss,-3.60584,0.1000,-3.62584,-3.62584,17.657161,9.565677,1643702399999,0.658157,C-LINK
LTCUSDT,1,109.480000,109.430000,1.0000,1643068799999,1643673600000,timeout,-0.00914,0.1000,-0.02914,-0.02914,94.887938,138.664124,1643673599999,0.956963,C-LTC
ETHUSDT,-1,2526.690000,2708.838801,1.0000,1643615999999,1643702399999,stop_loss,-1.4418,0.1000,-1.4618,-1.4618,2708.838801,2162.392399,1644220799999,,C-ETH
BTCUSDT,1,38420.650000,36753.211784,1.0000,1643702399999,1643846399999,stop_loss,-0.868,0.1000,-0.888,-0.888,36753.211784,41755.526431,1644307199999,0.894541,C-BTC
BTCUSDT,-1,37289.860000,38799.984048,1.0000,1643932799999,1643990399999,stop_loss,-0.80994,0.1000,-0.82994,-0.82994,38799.984048,34269.611903,1644537599999,0.838478,C-BTC
ETHUSDT,1,2662.830000,2989.060798,1.0000,1643817599999,1644019199999,take_profit,2.45026,0.1000,2.43026,2.43026,2499.714601,2989.060798,1644422399999,,C-ETH
LTCUSDT,-1,114.730000,122.778916,0.3300,1643990399999,1644047999999,stop_loss,-1.4031,0.1000,-1.4231,-0.46962,122.778916,98.632169,1644595199999,0.694063,C-LTC
LINKUSDT,-1,17.417000,19.226179,0.3300,1643702399999,1644278399999,stop_loss,-2.07748,0.1000,-2.09748,-0.69218,19.226179,13.798642,1644307199999,0.871057,C-LINK
BTCUSDT,1,41374.690000,44769.915524,1.0000,1644105599999,1644307199999,take_profit,1.6412,0.1000,1.6212,1.6212,39677.077238,44769.915524,1644710399999,0.979943,C-BTC
BTCUSDT,-1,43798.900000,45790.097774,1.0000,1644393599999,1644537599999,stop_loss,-0.90924,0.1000,-0.92924,-0.92924,45790.097774,39816.504453,1644998399999,0.949412,C-BTC
LINKUSDT,1,18.367000,16.857261,0.3300,1644364799999,1644623999999,stop_loss,-1.64396,0.1000,-1.66396,-0.5491,16.857261,21.386478,1644969599999,0.885239,C-LINK
ETHUSDT,1,3011.590000,2917.040000,1.0000,1644105599999,1644710400000,timeout,-0.6279,0.1000,-0.6479,-0.6479,2851.178808,3332.412384,1644710399999,,C-ETH
ETHUSDT,1,2870.320000,3182.020375,1.0000,1644796799999,1644969599999,take_profit,2.17188,0.1000,2.15188,2.15188,2714.469813,3182.020375,1645401599999,,C-ETH
LTCUSDT,-1,138.350000,127.180000,0.3300,1644479999999,1645084800000,timeout,1.61474,0.1000,1.59474,0.52626,147.430667,120.188666,1645084799999,0.703689,C-LTC
BTCUSDT,1,42115.600000,40145.612432,1.0000,1644681599999,1645142399999,stop_loss,-0.93552,0.1000,-0.95552,-0.95552,40145.612432,46055.575136,1645286399999,0.767692,C-BTC
ETHUSDT,1,2798.580000,2625.329476,0.3300,1645199999999,1645343999999,stop_loss,-1.23814,0.1000,-1.25814,-0.41518,2625.329476,3145.081047,1645804799999,,C-ETH
LINKUSDT,1,15.178000,13.953545,0.3300,1645430399999,1645459199999,stop_loss,-1.61346,0.1000,-1.63346,-0.53904,13.953545,17.626910,1646035199999,0.663889,C-LINK
BTCUSDT,-1,39966.800000,36500.468149,0.3300,1645228799999,1645516799999,take_profit,1.7346,0.1000,1.7146,0.56582,41699.965926,36500.468149,1645833599999,0.938907,C-BTC
ETHUSDT,1,2566.880000,2387.359031,0.3300,1645487999999,1645689599999,stop_loss,-1.39874,0.1000,-1.41874,-0.46818,2387.359031,2925.921937,1646092799999,,C-ETH
LTCUSDT,-1,114.720000,96.973317,0.3300,1645228799999,1645689599999,take_profit,3.09392,0.1000,3.07392,1.0144,123.593341,96.973317,1645833599999,0.876302,C-LTC
BTCUSDT,1,35892.200000,40095.508183,0.3300,1645718399999,1645747199999,take_profit,2.34218,0.1000,2.32218,0.76632,33790.545908,40095.508183,1646323199999,0.762105,C-BTC
ETHUSDT,1,2791.800000,2574.695426,0.3300,1645862399999,1646006399999,stop_loss,-1.5553,0.1000,-1.5753,-0.51984,2574.695426,3226.009148,1646467199999,,C-ETH
BTCUSDT,1,39205.400000,43898.179079,0.3300,1645833599999,1646092799999,take_profit,2.39394,0.1000,2.37394,0.7834,36859.010461,43898.179079,1646438399999,0.991639,C-BTC
LTCUSDT,-1,103.220000,113.824809,0.3300,1645775999999,1646121599999,stop_loss,-2.0548,0.1000,-2.0748,-0.68468,113.824809,82.010382,1646380799999,0.733304,C-LTC
LINKUSDT,-1,13.983000,15.364547,0.3300,1645574399999,1646150399999,stop_loss,-1.97604,0.1000,-1.99604,-0.6587,15.364547,11.219905,1646179199999,0.632020,C-LINK
LINKUSDT,-1,15.429000,12.593212,0.3300,1646236799999,1646697599999,take_profit,3.67592,0.1000,3.65592,1.20646,16.846894,12.593212,1646841599999,0.841448,C-LINK
LTCUSDT,-1,111.940000,106.300000,0.3300,1646207999999,1646812800000,timeout,1.00768,0.1000,0.98768,0.32594,121.850774,92.118452,1646812799999,0.916016,C-LTC
LINKUSDT,-1,13.085000,14.257283,0.3300,1646783999999,1646841599999,stop_loss,-1.7918,0.1000,-1.8118,-0.5979,14.257283,10.740434,1647388799999,0.765331,C-LINK
LINKUSDT,1,13.262000,14.541000,0.3300,1646927999999,1647532800000,timeout,1.92882,0.1000,1.90882,0.62992,12.032277,15.721446,1647532799999,0.725324,C-LINK
LTCUSDT,1,102.450000,110.150000,0.3300,1646927999999,1647532800000,timeout,1.50318,0.1000,1.48318,0.48944,94.761325,117.827350,1647532799999,0.687966,C-LTC
LTCUSDT,1,110.850000,122.617185,0.3300,1647619199999,1647964799999,take_profit,2.12308,0.1000,2.10308,0.69402,104.966408,122.617185,1648223999999,0.799559,C-LTC
BTCUSDT,1,40982.000000,43717.551795,0.3300,1647907199999,1648137599999,take_profit,1.335,0.1000,1.315,0.43396,39614.224103,43717.551795,1648511999999,0.755763,C-BTC
LINKUSDT,-1,15.068000,16.049173,0.3300,1647619199999,1648137599999,stop_loss,-1.30232,0.1000,-1.32232,-0.43636,16.049173,13.105653,1648223999999,0.814612,C-LINK
LTCUSDT,1,122.020000,131.750000,0.3300,1648051199999,1648656000000,timeout,1.59482,0.1000,1.57482,0.5197,115.249077,135.561846,1648655999999,0.668180,C-LTC
LINKUSDT,1,15.896000,17.595930,0.3300,1648223999999,1648742399999,take_profit,2.13882,0.1000,2.11882,0.6992,15.046035,17.595930,1648828799999,0.615156,C-LINK
