symbol,n_test,base_rate,acc_per_symbol_T2,acc_naive_pool_T3,acc_pooled_dummy_T1,T1_minus_T2
BCHUSDT,1689,0.5127,0.5216,0.4784,0.4802,-0.0414
LDOUSDT,793,0.5195,0.5359,0.4994,0.5006,-0.0353
TRXUSDT,1671,0.5536,0.4626,0.4955,0.5021,0.0395
