symbol,is_labelable_rows,long_share,short_share,pooling_row_multiplier
BCHUSDT,5627,0.4855,0.5145,2.459
LDOUSDT,2641,0.4998,0.5002,5.239
TRXUSDT,5569,0.5471,0.4529,2.485
