symbol,funding_z_coverage,frac_funding_z_positive,frac_funding_z_negative
BCHUSDT,1.0,0.5042,0.4221
LDOUSDT,1.0,0.5861,0.3586
TRXUSDT,1.0,0.5683,0.4186
