symbol,ic_engineered,ic_raw_primitive,abs_ic_gain
BCHUSDT,0.0193,-0.0059,0.0134
LDOUSDT,0.0285,-0.087,-0.0585
TRXUSDT,-0.0345,-0.0305,0.0039
