feature,ic_BCH,ic_LDO,ic_TRX,sign_agreement,mean_abs_ic
max_dd_window_50,-0.0255,-0.0178,-0.0188,YES,0.0207
ema_spread_atr_20,-0.0482,-0.1172,-0.0399,YES,0.0684
ret_kurt_50,-0.0179,0.0844,-0.0541,no,0.0521
ret_skew_200,-0.056,0.0158,0.0193,no,0.0303
range_realized_vol_50,0.0037,0.0082,-0.0019,no,0.0046
hurst_diff_100_50,-0.001,0.0211,0.0212,YES,0.0144
ret_kurt_200,0.0246,-0.0217,0.0138,no,0.0201
hurst_100,-0.0175,-0.0074,-0.0039,no,0.0096
btc_ret_14d,0.0245,0.0282,-0.0184,no,0.0237
ret_skew_50,-0.0675,-0.0682,0.0012,YES,0.0456
vwap_dev_20,0.0057,-0.0752,-0.0082,no,0.0297
ret_autocorr_lag1_50,0.0499,0.0345,-0.0,YES,0.0281
sym_vs_btc_ret_7d,-0.0397,-0.1098,-0.0259,YES,0.0585
regime_momentum_signed_5d,-0.0059,-0.087,-0.0305,YES,0.0411
