feature,median_BCH,median_LDO,median_TRX,median_spread,pooled_iqr,scale_mismatch_ratio,scale_comparable
max_dd_window_50,-0.1965,-0.2452,-0.1376,0.1075,0.1436,0.749,YES
ema_spread_atr_20,-0.2809,-0.2052,0.2855,0.5665,1.9708,0.287,YES
ret_kurt_50,1.8188,1.1011,1.7104,0.7177,2.7562,0.26,YES
ret_skew_200,-0.0957,0.2519,-0.4553,0.7072,1.0945,0.646,YES
range_realized_vol_50,0.0255,0.0341,0.0187,0.0153,0.0178,0.864,YES
hurst_diff_100_50,-0.0098,-0.0239,-0.0117,0.0141,0.1192,0.118,YES
ret_kurt_200,4.3346,3.1561,5.8131,2.657,5.1779,0.513,YES
hurst_100,1.0205,1.0069,1.0079,0.0136,0.0611,0.223,YES
btc_ret_14d,0.0103,0.0121,0.0095,0.0026,0.1274,0.021,YES
ret_skew_50,-0.0662,0.1668,-0.3383,0.5051,1.0534,0.479,YES
vwap_dev_20,-0.1073,-0.1545,0.1684,0.3229,1.7684,0.183,YES
ret_autocorr_lag1_50,-0.0236,-0.036,-0.0173,0.0188,0.1825,0.103,YES
sym_vs_btc_ret_7d,-0.0183,-0.0245,-0.0007,0.0238,0.0941,0.253,YES
regime_momentum_signed_5d,-0.0032,-0.0038,0.0077,0.0116,0.0983,0.118,YES
