regime_tag,in_sample,candidate_sharpe,candidate_max_dd,candidate_trade_count,baseline_sharpe,baseline_max_dd,baseline_trade_count
bull,True,0.16881290200692697,41.679899999999996,50,0.21273168054478928,29.12869999999999,43
bear,True,0.007661478120763435,44.366600000000005,26,0.3455232671183351,33.5842,28
vol-spike,True,,,0,,,0
chop,True,-0.11100053245668924,73.13980000000001,48,-0.3003310227211168,71.50000000000001,39
recovery,True,,,0,,,0
other,True,0.09235481485835527,26.3904,37,0.2735429658796176,27.369999999999997,36
bull,False,-0.39722807184866776,6.740500000000001,4,-0.26127982968268404,14.423100000000002,6
bear,False,-0.1016546013626448,17.610599999999998,9,-0.3647390663545937,10.7776,7
vol-spike,False,,,0,,,0
chop,False,0.38049493802583456,20.092799999999997,11,1.0350229708321197,4.9608,6
recovery,False,,,0,,,0
other,False,0.34297774688738336,23.1278,24,0.41500804137955727,13.1159,9
