feature,gain,gain_share
oi_price_divergence_30,1717.06123771891,0.183023534253019
vol_natr_21,1342.3112001419067,0.1430784962822632
stat_autocorr_lag1,1187.8732784986496,0.12661678040345717
oi_delta_30_z90,951.4540119469166,0.10141657858229866
trend_adx_14,802.9099570158869,0.08558309674220468
hurst_100,787.4073324203491,0.08393065413774495
long_short_zscore_30,551.1616305112839,0.05874895277168065
btc_funding_spread_30_90,518.0270912665874,0.05521710408440484
funding_rate_zscore_90,509.9663406610489,0.054357899396680516
regime_momentum_signed_5d,351.78135174512863,0.037496779303125734
mom_rsi_9,300.59440636634827,0.032040703861526215
basis_zscore_30,195.68767178058624,0.020858574238509953
funding_rate_zscore_30,79.28245973587036,0.00845080866446483
mr_pct_from_high_5,47.55573070049286,0.0050690200882712215
vol_taker_buy_ratio,38.56809067726135,0.004111017190348369
