period,book,n,note,win_rate,profit_factor,sum_net,per_trade_sharpe_ann,top2_share_of_net
2020,RAW,0,too_few,,,,,
2021,RAW,0,too_few,,,,,
2022,RAW,207,,0.5217391304347826,1.7506846140787498,9.125022296351705,1.0940429368242206,0.09982589782941281
2022,M2>=0.45,139,,0.539568345323741,1.580834691298046,5.869839735041138,0.9429775239681081,0.15518541980096076
2023,RAW,540,,0.5555555555555556,1.0059285961397686,0.10034375598769252,0.01095829572894093,4.644192120601982
2023,M2>=0.45,168,,0.7142857142857143,1.686296556147885,2.959806092669748,0.9102958057779197,0.1185123118096922
2024H1,RAW,166,,0.30120481927710846,0.3771630855460889,-9.580641277595326,-1.985042858116502,
2024H1,M2>=0.45,106,,0.29245283018867924,0.3165929929895361,-5.819943500551171,-2.239838348592929,
2024H2_2025Q1_RECENT,RAW,422,,0.6161137440758294,1.8673845092268206,13.67146414362524,1.3947949971597005,0.03939879827786734
2024H2_2025Q1_RECENT,M2>=0.45,296,,0.652027027027027,2.015304544031099,11.254763719581295,1.5882211792202412,0.04785877974680627
