config,horizon_d,n_entries,win_rate,n_winners,mean_net,sum_net,per_trade_sharpe_ann,top1_share_of_net,top2_share_of_net
baseline_14d_noTP_sl_open,14.0,3274,0.5281001832620648,1729,0.01587022197144072,51.95910673449691,0.4633065702653462,0.020598599552832414,0.041174949705201205
14d_TP6_SL4,14.0,3274,0.3845448992058644,1259,-0.0029851211103547196,-9.773286515301352,-0.3142397181594102,,
7d_TP5_SL3,7.0,3295,0.3772382397572079,1243,-0.0017013324776249611,-5.605890513774247,-0.3214020621681172,,
5d_TP4_SL3,5.0,3301,0.42562859739472886,1405,-0.001959396063123271,-6.467966404369917,-0.49136043580325567,,
3d_TP3_SL2,3.0,3307,0.3921983671000907,1297,-0.0019514589894306254,-6.4534748780470785,-0.8941859237951547,,
2d_TP2p5_SL2,2.0,3310,0.4259818731117825,1410,-0.002199814643126797,-7.281386468749698,-1.3666820474788794,,
