seed,n_kept,win_rate,per_trade_sharpe_ann,top2_share_of_net
42,709,0.5909732016925247,0.6907382799593225,0.06385893032812365
43,721,0.5839112343966713,0.6463952700220676,0.06728469860311267
44,727,0.5832187070151307,0.6207843711383627,0.06961147906625986
45,705,0.5886524822695035,0.6535645503319234,0.06775571331054767
46,722,0.5914127423822715,0.6636953488854603,0.06516484291828646
47,719,0.588317107093185,0.6590223327824379,0.06592752042557347
48,703,0.5832147937411095,0.6553918229490048,0.06774944097944578
49,698,0.5873925501432665,0.6072578304977184,0.07265571784631909
50,726,0.5909090909090909,0.6826706400860123,0.06356740067218433
51,712,0.5814606741573034,0.5867996923281698,0.07368605951880587
