book,n_trades,win_rate,n_winners,profit_factor,sum_net,per_trade_sharpe_ann,top1_share_of_net,top2_share_of_net
RAW_trend_book (no M2),1335,0.5378277153558052,718,1.2211074869833183,13.316188918369306,0.3830494931952674,0.034803487350767215,0.06840647493293969
M2>=0.45,709,0.5909732016925247,419,1.4192992473757136,14.264466046741006,0.6907382799593225,0.0324898114701445,0.06385893032812365
M2>=0.50,648,0.5895061728395061,382,1.3656464284263015,11.71421861440199,0.6111659162131465,0.03956301549734667,0.07776135766552973
M2>=0.55,590,0.5779661016949152,341,1.2445328043255361,7.5063709752765355,0.42574770538498596,0.06174086174362295,0.12135205500060715
M2>=0.60,537,0.5679702048417132,305,1.1612764585135562,4.599516982910336,0.29019283586040495,0.10076053948770197,0.1969139917387962
M2>=0.65,477,0.5681341719077568,271,1.1192716213832694,3.0220418580163555,0.21815594597922722,0.15335651667151215,0.2963713407622743
