signal,n,hit_rate,mean_ret,median_ret,per_trade_sharpe_ann,top1_share_of_pos,top2_share_of_pos,n_winners
A_trend_state_sma200,5685,0.5255936675461741,0.017923320331161383,0.007961628950496125,0.5249987152036951,0.0027013247853217245,0.005294264695661786,2988
B_meanrev_rsi9_30_70,1255,0.46215139442231074,-0.02822900691506913,-0.013263404985267346,-0.8307434434520293,0.007537412463965216,0.014515355569800374,580
B2_meanrev_mr_bb_pctb_10,752,0.48936170212765956,-0.011250072861996462,-0.002393271376829653,-0.3292046789765512,0.016284819486180498,0.032096173045352706,368
B3_meanrev_pct_from_high_5_q10_long,569,0.5536028119507909,0.04702567100233367,0.02342652316452809,1.2231305295834667,0.019240186595459046,0.03800806344937386,315
C_funding_contra_z30_q20_80,2192,0.5269160583941606,0.008884788877803177,0.010067332998675238,0.24683700056938276,0.0072191704304502965,0.014148687099595292,1155
C2_funding_align_sign_z30,5584,0.4803008595988539,-3.502229028597569e+16,-0.007152154024163193,-0.6465876360977773,0.04453441384424209,0.08360268271598037,2682
