,funding_rate_zscore_30,funding_rate_zscore_90,btc_funding_spread_30_90,btc_funding_rate_8h_impulse
funding_rate_zscore_30,1.0,0.8410681200085737,0.2135255876556757,0.4299543633006256
funding_rate_zscore_90,0.8410681200085737,1.0,0.28314718701943575,0.34616500200436234
btc_funding_spread_30_90,0.2135255876556757,0.28314718701943575,1.0,0.13979968266965995
btc_funding_rate_8h_impulse,0.4299543633006256,0.34616500200436234,0.13979968266965995,1.0
