symbol,IS_n,IS_WR_pct,IS_sum_net_pnl_pct,IS_sum_wpnl,OOS_n,OOS_WR_pct,OOS_sum_net_pnl_pct,OOS_sum_wpnl
BCHUSDT,94,38.3,23.62,34.85,38,39.5,10.75,11.31
LDOUSDT,18,55.6,54.55,43.9,13,53.8,10.24,9.34
TRXUSDT,85,34.1,-7.28,-5.82,46,52.2,29.24,23.23
ALGOUSDT,53,39.6,-34.05,2.47,22,63.6,70.17,53.12
