symbol,vol_tercile,n_trades_IS,WR_pct,avg_net_pnl_pct,sum_net_pnl_pct,timeout_rate_pct,stop_loss_rate_pct,take_profit_rate_pct,vol_min,vol_max
BCHUSDT,lo,32,37.5,0.564,18.047,3.1,59.4,37.5,0.0121,0.0229
BCHUSDT,mid,31,35.5,-0.001,-0.031,6.5,64.5,29.0,0.0229,0.0271
BCHUSDT,hi,31,41.9,0.181,5.604,19.4,54.8,25.8,0.0273,0.0453
LDOUSDT,lo,6,33.3,-2.504,-15.024,0.0,66.7,33.3,0.0262,0.0338
LDOUSDT,mid,6,66.7,4.524,27.147,0.0,33.3,66.7,0.0346,0.0469
LDOUSDT,hi,6,66.7,7.071,42.429,0.0,33.3,66.7,0.0472,0.0562
TRXUSDT,lo,29,31.0,-0.219,-6.352,0.0,69.0,31.0,0.0061,0.0111
TRXUSDT,mid,28,32.1,-0.104,-2.923,0.0,67.9,32.1,0.0113,0.0154
TRXUSDT,hi,28,39.3,0.071,1.991,14.3,60.7,25.0,0.0155,0.0504
ALGOUSDT,lo,18,27.8,-1.767,-31.806,0.0,72.2,27.8,0.0155,0.0221
ALGOUSDT,mid,17,52.9,1.475,25.079,11.8,41.2,47.1,0.0237,0.0353
ALGOUSDT,hi,18,38.9,-1.518,-27.327,16.7,55.6,27.8,0.0395,0.0663
