symbol,adx_bucket,n_trades_IS,n_long,n_short,WR_pct,avg_net_pnl_pct,sum_net_pnl_pct,sum_weighted_pnl,adx_min,adx_max
BCHUSDT,20-25,26,8,18,30.8,-0.772,-20.063,-3.49,20.16,24.85
BCHUSDT,25-30,24,10,14,33.3,-0.527,-12.651,3.87,25.05,29.98
BCHUSDT,>=30,44,21,23,45.5,1.28,56.334,34.47,30.08,53.12
LDOUSDT,20-25,7,2,5,85.7,9.604,67.231,44.73,20.1,22.47
LDOUSDT,25-30,4,2,2,25.0,-2.612,-10.446,-5.17,25.7,29.28
LDOUSDT,>=30,7,2,5,42.9,-0.319,-2.234,4.34,31.16,40.27
TRXUSDT,20-25,28,12,16,35.7,0.334,9.34,9.67,20.2,24.92
TRXUSDT,25-30,22,12,10,36.4,-0.508,-11.187,-11.26,26.02,29.83
TRXUSDT,>=30,35,18,17,31.4,-0.155,-5.437,-4.22,30.22,64.64
ALGOUSDT,20-25,22,14,8,36.4,-2.063,-45.375,-26.0,20.01,24.5
ALGOUSDT,25-30,11,5,6,45.5,1.588,17.464,26.0,25.08,29.71
ALGOUSDT,>=30,20,7,13,40.0,-0.307,-6.142,2.47,30.51,63.03
