symbol,adx_threshold,n_blocked_OOS,wpnl_blocked_OOS,n_kept_OOS,wpnl_kept_OOS,wpnl_total_OOS,OOS_cost_of_blocking
BCHUSDT,15,0,0.0,38,11.31,11.31,0.0
BCHUSDT,18,0,0.0,38,11.31,11.31,0.0
BCHUSDT,20,0,0.0,38,11.31,11.31,0.0
BCHUSDT,22,5,1.18,33,10.13,11.31,1.18
BCHUSDT,25,16,20.06,22,-8.75,11.31,20.06
LDOUSDT,15,0,0.0,13,9.34,9.34,0.0
LDOUSDT,18,0,0.0,13,9.34,9.34,0.0
LDOUSDT,20,0,0.0,13,9.34,9.34,0.0
LDOUSDT,22,3,-2.71,10,12.04,9.34,-2.71
LDOUSDT,25,7,16.34,6,-7.0,9.34,16.34
TRXUSDT,15,0,0.0,46,23.23,23.23,0.0
TRXUSDT,18,0,0.0,46,23.23,23.23,0.0
TRXUSDT,20,0,0.0,46,23.23,23.23,0.0
TRXUSDT,22,4,-1.97,42,25.21,23.23,-1.97
TRXUSDT,25,9,0.68,37,22.55,23.23,0.68
ALGOUSDT,15,0,0.0,22,53.12,53.12,0.0
ALGOUSDT,18,0,0.0,22,53.12,53.12,0.0
ALGOUSDT,20,0,0.0,22,53.12,53.12,0.0
ALGOUSDT,22,5,7.53,17,45.59,53.12,7.53
ALGOUSDT,25,9,17.03,13,36.09,53.12,17.03
