feature,rank_BCH,rank_LDO,rank_TRX,rank_ALGO,rank_range,norm_std,classification
vwap_dev_20,12,2,4,5,10,0.2063,HIGH-DISP-SYMBOL-SPECIFIC
hurst_100,9,10,3,12,9,0.1626,HIGH-DISP-SYMBOL-SPECIFIC
ret_skew_50,8,11,7,2,9,0.1472,HIGH-DISP-SYMBOL-SPECIFIC
sym_vs_btc_ret_7d,5,7,12,13,8,0.0813,HIGH-DISP-SYMBOL-SPECIFIC
max_dd_window_50,4,9,9,1,8,0.1626,HIGH-DISP-SYMBOL-SPECIFIC
ret_kurt_200,7,4,11,7,7,0.0847,HIGH-DISP-SYMBOL-SPECIFIC
ema_spread_atr_20,2,6,2,8,6,0.136,MID-DISP
ret_autocorr_lag1_50,10,12,8,9,4,0.1128,MID-DISP
range_realized_vol_50,3,5,1,3,4,0.1106,MID-DISP
ret_kurt_50,1,1,5,4,4,0.13,MID-DISP
hurst_diff_100_50,14,13,13,11,3,0.1752,LOW-DISP-SHARED
ret_skew_200,6,3,6,6,3,0.0699,LOW-DISP-SHARED
btc_ret_14d,11,8,10,10,3,0.1375,LOW-DISP-SHARED
regime_momentum_signed_5d,13,14,14,14,1,0.0528,LOW-DISP-SHARED
