symbol,feature,importance,rank_within_symbol,importance_norm
BCHUSDT,ret_kurt_50,173.0,1,1.0
BCHUSDT,ema_spread_atr_20,172.0,2,0.9942196531791907
BCHUSDT,range_realized_vol_50,129.0,3,0.7456647398843931
BCHUSDT,max_dd_window_50,107.0,4,0.6184971098265896
BCHUSDT,sym_vs_btc_ret_7d,106.0,5,0.6127167630057804
BCHUSDT,ret_skew_200,104.0,6,0.6011560693641619
BCHUSDT,ret_kurt_200,99.0,7,0.5722543352601156
BCHUSDT,ret_skew_50,87.0,8,0.5028901734104047
BCHUSDT,hurst_100,72.0,9,0.4161849710982659
BCHUSDT,ret_autocorr_lag1_50,63.0,10,0.36416184971098264
BCHUSDT,btc_ret_14d,58.0,11,0.3352601156069364
BCHUSDT,vwap_dev_20,52.0,12,0.30057803468208094
BCHUSDT,regime_momentum_signed_5d,43.0,13,0.24855491329479767
BCHUSDT,hurst_diff_100_50,22.0,14,0.12716763005780346
LDOUSDT,ret_kurt_50,366.0,1,1.0
LDOUSDT,vwap_dev_20,298.0,2,0.8142076502732241
LDOUSDT,ret_skew_200,291.0,3,0.7950819672131147
LDOUSDT,ret_kurt_200,272.0,4,0.7431693989071039
LDOUSDT,range_realized_vol_50,262.0,5,0.7158469945355191
LDOUSDT,ema_spread_atr_20,259.0,6,0.7076502732240437
LDOUSDT,sym_vs_btc_ret_7d,257.0,7,0.7021857923497268
LDOUSDT,btc_ret_14d,255.0,8,0.6967213114754098
LDOUSDT,max_dd_window_50,244.0,9,0.6666666666666666
LDOUSDT,hurst_100,236.0,10,0.644808743169399
LDOUSDT,ret_skew_50,201.0,11,0.5491803278688525
LDOUSDT,ret_autocorr_lag1_50,189.0,12,0.5163934426229508
LDOUSDT,hurst_diff_100_50,186.0,13,0.5081967213114754
LDOUSDT,regime_momentum_signed_5d,111.0,14,0.30327868852459017
TRXUSDT,range_realized_vol_50,313.0,1,1.0
TRXUSDT,ema_spread_atr_20,289.0,2,0.9233226837060703
TRXUSDT,hurst_100,266.0,3,0.8498402555910544
TRXUSDT,vwap_dev_20,240.0,4,0.7667731629392971
TRXUSDT,ret_kurt_50,222.0,5,0.7092651757188498
TRXUSDT,ret_skew_200,222.0,6,0.7092651757188498
TRXUSDT,ret_skew_50,205.0,7,0.6549520766773163
TRXUSDT,ret_autocorr_lag1_50,192.0,8,0.6134185303514377
TRXUSDT,max_dd_window_50,188.0,9,0.6006389776357828
TRXUSDT,btc_ret_14d,185.0,10,0.5910543130990416
TRXUSDT,ret_kurt_200,175.0,11,0.5591054313099042
TRXUSDT,sym_vs_btc_ret_7d,172.0,12,0.549520766773163
TRXUSDT,hurst_diff_100_50,145.0,13,0.46325878594249204
TRXUSDT,regime_momentum_signed_5d,123.0,14,0.3929712460063898
ALGOUSDT,max_dd_window_50,164.0,1,1.0
ALGOUSDT,ret_skew_50,145.0,2,0.8841463414634146
ALGOUSDT,range_realized_vol_50,137.0,3,0.8353658536585366
ALGOUSDT,ret_kurt_50,128.0,4,0.7804878048780488
ALGOUSDT,vwap_dev_20,121.0,5,0.7378048780487805
ALGOUSDT,ret_skew_200,120.0,6,0.7317073170731707
ALGOUSDT,ret_kurt_200,119.0,7,0.725609756097561
ALGOUSDT,ema_spread_atr_20,111.0,8,0.676829268292683
ALGOUSDT,ret_autocorr_lag1_50,108.0,9,0.6585365853658537
ALGOUSDT,btc_ret_14d,104.0,10,0.6341463414634146
ALGOUSDT,hurst_diff_100_50,96.0,11,0.5853658536585366
ALGOUSDT,hurst_100,84.0,12,0.5121951219512195
ALGOUSDT,sym_vs_btc_ret_7d,79.0,13,0.4817073170731707
ALGOUSDT,regime_momentum_signed_5d,56.0,14,0.34146341463414637
