symbol,alignment_features_used,alignment_score,raw_corr_BCH,raw_corr_LDO,raw_corr_TRX,raw_corr_ALGO,raw_corr_mean_abs,natr_21_pct,natr_band_ok,btc_coupling_std,is_n_klines
VETUSDT,range_realized_vol_50+ret_kurt_50+ret_skew_200,0.5176,0.6035,0.5576,0.5141,0.7481,0.6058,3.9737,True,0.0935,2169
FILUSDT,range_realized_vol_50+ret_kurt_50+ret_skew_200,0.4619,0.6038,0.5843,0.4123,0.7378,0.5846,4.1463,True,0.0938,2169
ATOMUSDT,range_realized_vol_50+ret_kurt_50+ret_skew_200,0.4867,0.5801,0.6013,0.41,0.7399,0.5828,3.5358,True,0.0793,2169
