rank,symbol,composite,alignment_score,raw_corr_mean_abs,natr_21_pct,natr_band_ok,btc_coupling_std,gate1_pass,gate2_pass,gates_pass,is_qvol_mean_$,is_qvol_p10_$,pre_IS_history_months,coverage_pct
1,VETUSDT,0.6833,0.5176,0.6058,3.9737,True,0.0935,True,True,True,38354502.0,9710017.0,37.5,100.0
2,FILUSDT,0.6502,0.4619,0.5846,4.1463,True,0.0938,True,True,True,220690320.0,68535083.0,29.46,100.0
3,ATOMUSDT,0.5164,0.4867,0.5828,3.5358,True,0.0793,True,True,True,105837753.0,38849988.0,37.73,100.0
