family,name,n,ic,t,ic_h1,t_h1,ic_h2,t_h2,abs_t,consistent
SLOT-FORM-harvest,slot0_30d@h0,1415,0.020016449322545225,2.709307283256299,0.006038459100473344,0.5870678348732958,0.033432996724062976,3.161668729457808,2.709307283256299,True
SLOT-FORM-harvest,slot0_30d@h1,1416,-0.04083189043038473,-5.795072353040697,-0.05561249898378957,-5.488175987348464,-0.02666458513645726,-2.7262946591839876,5.795072353040697,True
SLOT-FORM-harvest,slot0_30d@h2,1415,-0.008967347896989806,-1.2449546458423315,-0.011052402665562493,-1.0954897013425855,-0.0069660418656589595,-0.6777789480581894,1.2449546458423315,True
SLOT-FORM,slot1_30d,4245,-0.006824989529945956,-1.6254264506982685,-0.005898536740437799,-0.9678977722599205,-0.007713392343327562,-1.3322665051326172,1.6254264506982685,True
SLOT-FORM-harvest,slot1_30d@h0,1415,-0.008965784103301162,-1.2484638651241775,-0.00845081324542023,-0.8226462968192132,-0.009460070536142555,-0.9412742488083299,1.2484638651241775,True
SLOT-FORM-harvest,slot1_30d@h1,1415,0.0077349536893101265,1.0550925808689142,0.009448361993443979,0.9064744056026554,0.006095011024772605,0.5906886181655447,1.0550925808689142,True
SLOT-FORM-harvest,slot1_30d@h2,1415,-0.019244138175846828,-2.6391317958401004,-0.01867101337231857,-1.7057918181561778,-0.019794242731033928,-2.0416742233614613,2.6391317958401004,True
SLOT-FORM,slot2_30d,4244,-0.006489834134982912,-1.4719451980540839,-0.011545440382107202,-1.84058292945522,-0.0016441976904618442,-0.26529371832314524,1.4719451980540839,True
SLOT-FORM-harvest,slot2_30d@h0,1415,-0.03812917092624935,-5.0672730641380985,-0.043196494104420634,-4.100786613490668,-0.03326538288958357,-3.097506713381516,5.0672730641380985,True
SLOT-FORM-harvest,slot2_30d@h1,1415,-0.008248316800216609,-1.0975108816923964,-0.025384746074772258,-2.357814436705849,0.00815335547916446,0.7789772254547532,1.0975108816923964,False
SLOT-FORM-harvest,slot2_30d@h2,1414,0.02693160471292918,3.464203820691694,0.03399065754981103,3.0662843765609082,0.0201658643207931,1.8488678578150768,3.464203820691694,True
SLOT-TILT,tilt0_30d,4244,-0.0031517102426509157,-0.7724973001784583,-0.007195632933191304,-1.2305253796655835,0.0007242599595883024,0.12717401441041387,0.7724973001784583,False
SLOT-TILT-harvest,tilt0_30d@h0,1415,0.029605398359734802,4.227140640912627,0.02291765234156624,2.2642808150593554,0.036024523000442295,3.714832713576163,4.227140640912627,True
SLOT-TILT-harvest,tilt0_30d@h1,1415,-0.03112059688429401,-4.445376134354791,-0.03437684704352613,-3.435930468737873,-0.028003964643369218,-2.856279697811663,4.445376134354791,True
SLOT-TILT-harvest,tilt0_30d@h2,1414,-0.007943318498981045,-1.1178596694502476,-0.010171220405814533,-1.001677574444923,-0.005807988693539529,-0.5835085716519196,1.1178596694502476,True
SLOT-TILT,tilt1_30d,4244,0.0011211622998730719,0.27025397974643406,0.006522568544755047,1.1024822145500697,-0.004055912352005036,-0.69714695917703,0.27025397974643406,False
SLOT-TILT-harvest,tilt1_30d@h0,1415,0.002241466210225242,0.32057269684443085,0.006390238093466641,0.6520544449531414,-0.0017406652511131088,-0.17460401934180964,0.32057269684443085,False
SLOT-TILT-harvest,tilt1_30d@h1,1415,0.027902460612748623,3.9328995680337,0.037078319413986226,3.735581618728843,0.019120034208244572,1.88890943873894,3.9328995680337,True
SLOT-TILT-harvest,tilt1_30d@h2,1414,-0.02680017231530884,-3.623971534394245,-0.023900660644211872,-2.199347524169265,-0.029579205662121983,-2.9373499865090693,3.623971534394245,True
SLOT-TILT,tilt2_30d,4244,0.0005129664238367789,0.12298127987064188,0.0017042290807755993,0.2913186563324076,-0.0006288206266763403,-0.10582719729765891,0.12298127987064188,False
SLOT-TILT-harvest,tilt2_30d@h0,1415,-0.036572060469900206,-5.086023870648679,-0.033429655258604064,-3.3273437481420043,-0.039588247189329885,-3.8502402108408895,5.086023870648679,True
SLOT-TILT-harvest,tilt2_30d@h1,1415,0.006193809967678781,0.8654455975632889,0.001404694025366784,0.13780647796779666,0.010777583456032726,1.0719627860247456,0.8654455975632889,True
SLOT-TILT-harvest,tilt2_30d@h2,1414,0.03193935923861853,4.427634028913574,0.037188419984725024,3.7215314123518777,0.026908403509663274,2.590136617743253,4.427634028913574,True
SLOT-FORM,slot0_60d,4156,-0.014219735289224409,-3.311083472875633,-0.022354336804690383,-3.713167391237895,-0.006753319777336165,-1.1062582108431986,3.311083472875633,True
SLOT-FORM-harvest,slot0_60d@h0,1385,0.013190975345981388,1.789357141794955,0.012235733084239513,1.2138791785312883,0.014068157644506127,1.3150461322015856,1.789357141794955,True
SLOT-FORM-harvest,slot0_60d@h1,1386,-0.0428010567488161,-5.746645934048164,-0.05326254621753673,-5.026020889568498,-0.033207740679989294,-3.176331902868444,5.746645934048164,True
SLOT-FORM-harvest,slot0_60d@h2,1385,-0.013028488131654694,-1.7548693421663233,-0.026036197280773936,-2.4898806929690496,-0.001083735824360982,-0.1031640745667757,1.7548693421663233,True
SLOT-FORM,slot1_60d,4155,-0.004438167420958146,-1.0070105452568947,-0.006251482776743068,-0.9455265025191089,-0.00277463676692011,-0.4714636344819675,1.0070105452568947,True
SLOT-FORM-harvest,slot1_60d@h0,1385,-0.002760350985375983,-0.36691181606375406,-0.005037224837492115,-0.4376274456139802,-0.0006695374618953802,-0.06808928849584323,0.36691181606375406,True
SLOT-FORM-harvest,slot1_60d@h1,1385,0.012519639022880343,1.6402193915335914,0.017668651100464516,1.557650064985874,0.007805052583930527,0.758032902032278,1.6402193915335914,True
SLOT-FORM-harvest,slot1_60d@h2,1385,-0.0230737903003788,-2.9892956922574725,-0.031349795959902636,-2.740699686602672,-0.015474078732145683,-1.4828065266051575,2.9892956922574725,True
SLOT-FORM,slot2_60d,4154,-0.004168069057107902,-0.9256480548882196,-0.01329761432686083,-2.0832962648685833,0.004203138349905979,0.6629058185885938,0.9256480548882196,False
SLOT-FORM-harvest,slot2_60d@h0,1385,-0.03672695006557214,-4.7551599236142374,-0.049853708997133615,-4.686221708740812,-0.024672876420661818,-2.2173174423543722,4.7551599236142374,True
SLOT-FORM-harvest,slot2_60d@h1,1385,0.00023553661483252233,0.03042054870647489,-0.018799938345022155,-1.702810744167607,0.017664975651379956,1.632589017089335,0.03042054870647489,False
SLOT-FORM-harvest,slot2_60d@h2,1384,0.024007549686450993,3.0584738946670877,0.028816025048386377,2.554435204917696,0.019598670614981134,1.7926428330425166,3.0584738946670877,True
SLOT-TILT,tilt0_60d,4154,-0.008316261484234602,-1.9688652119474708,-0.008547208939906842,-1.4094186506292556,-0.008104497481271638,-1.376706073024051,1.9688652119474708,True
SLOT-TILT-harvest,tilt0_60d@h0,1385,0.0203363508970989,2.8661927753260144,0.02620149971069151,2.552291105353314,0.014950487097359437,1.5224478811710296,2.8661927753260144,True
SLOT-TILT-harvest,tilt0_60d@h1,1385,-0.030156981988915837,-4.11370341803478,-0.029573834347371004,-2.786515840992513,-0.030690929068725916,-3.0252596161032796,4.11370341803478,True
SLOT-TILT-harvest,tilt0_60d@h2,1384,-0.01513307524808098,-2.029581444246499,-0.022321782679492082,-2.123262304145055,-0.008541767326205433,-0.8093238259967453,2.029581444246499,True
SLOT-TILT,tilt1_60d,4154,0.0034291316418644992,0.8123537997877462,0.009042249351796762,1.4629723120803249,-0.0017177372504453333,-0.2974503567471219,0.8123537997877462,False
SLOT-TILT-harvest,tilt1_60d@h0,1385,0.01018427743652844,1.4196012400909241,0.010089885870118767,0.9769492748011962,0.010270955564685802,1.0292637023921631,1.4196012400909241,True
SLOT-TILT-harvest,tilt1_60d@h1,1385,0.021772852127400797,2.9967185343331884,0.03724174525566752,3.489424107930019,0.007609079996124772,0.7695133488271872,2.9967185343331884,True
SLOT-TILT-harvest,tilt1_60d@h2,1384,-0.02168786965732433,-2.9121807210422244,-0.020206465602901017,-1.8361061057231154,-0.023046165341573954,-2.280571536017022,2.9121807210422244,True
SLOT-TILT,tilt2_60d,4154,-0.00024950176998011434,-0.05918305153510633,-0.00335388380294655,-0.5481810063928324,0.002597017426837749,0.446410105113319,0.05918305153510633,False
SLOT-TILT-harvest,tilt2_60d@h0,1385,-0.04135488378966944,-5.734124484459026,-0.046179918949448784,-4.4793915272159115,-0.036924138206658776,-3.6585622427237174,5.734124484459026,True
SLOT-TILT-harvest,tilt2_60d@h1,1385,0.009834133112069108,1.333776939040133,-0.005361597368737478,-0.5019757389230843,0.023747789513582186,2.335050058754169,1.333776939040133,False
SLOT-TILT-harvest,tilt2_60d@h2,1384,0.030794659924840373,4.284428655731172,0.041544556805338306,3.9423906326448375,0.02093810627540874,2.133353149121608,4.284428655731172,True
WEEKEND,weekend_2w,4292,-0.015275566961228759,-3.54041117314092,-0.016209460760419472,-2.671519533175541,-0.014359773549470442,-2.340490963903441,3.54041117314092,True
WEEKEND-harvest,weekend_2w@h0,1431,-0.014464846000193085,-1.9583624721277022,-0.022914275185473235,-2.224832013244054,-0.006167553351490004,-0.5828351021902942,1.9583624721277022,True
WEEKEND-harvest,weekend_2w@h1,1431,-0.024331897478185364,-3.2180623887795536,-0.027432591792012514,-2.5576010207505444,-0.0212955329219065,-1.9965464410508684,3.2180623887795536,True
WEEKEND-harvest,weekend_2w@h2,1430,-0.007024191244779208,-0.9403971412522825,0.0017279547730988764,0.16487527682949354,-0.015606628060094559,-1.4669308251826387,0.9403971412522825,False
WEEKEND,weekday_2w,4298,-0.012207989642523535,-2.7137242600150184,-0.014053022783396036,-2.1816879074628894,-0.010393607721342497,-1.6536932553181616,2.7137242600150184,True
WEEKEND-harvest,weekday_2w@h0,1433,-0.017980286467806417,-2.303458383189414,-0.011305155879707967,-1.0186879005725413,-0.024553718390435218,-2.2355535289009887,2.303458383189414,True
WEEKEND-harvest,weekday_2w@h1,1433,-0.009384449702643098,-1.202595984370663,-0.0228818897158583,-2.0169490163729473,0.003870297751551635,0.3612584713528781,1.202595984370663,False
WEEKEND-harvest,weekday_2w@h2,1432,-0.00925717356935195,-1.1915053325891491,-0.007975892989697461,-0.7228843563176846,-0.010517158626906917,-0.960519472246728,1.1915053325891491,True
WEEKEND,we_minus_wd_2w,4292,0.001102371593086729,0.25001012705771536,0.0019750455876582727,0.3149404503524515,0.00024661144612570814,0.03976197014020358,0.25001012705771536,True
WEEKEND-harvest,we_minus_wd_2w@h0,1431,0.006201559844404569,0.8089938880235559,-0.004532696773856392,-0.41542769419189435,0.016742540373971087,1.5552190304272344,0.8089938880235559,False
WEEKEND-harvest,we_minus_wd_2w@h1,1431,-0.0037126577390988137,-0.4886252183563114,0.006847958217263755,0.626939849058061,-0.014054173779354273,-1.3302980219452545,0.4886252183563114,False
WEEKEND-harvest,we_minus_wd_2w@h2,1430,0.0008180139614235685,0.10692388168120481,0.0036190670460667738,0.3362751954164618,-0.0019287250744869405,-0.1772822844685946,0.10692388168120481,False
WEEKEND,weekend_4w,4250,-0.0077010774855550005,-1.7376094907127342,-0.008830282731972186,-1.4277037634903618,-0.0066156439238166526,-1.043090547865637,1.7376094907127342,True
WEEKEND-harvest,weekend_4w@h0,1417,-0.002962702215276404,-0.39227895713878874,-0.010656612775833345,-1.0437205540025245,0.0044434859281959945,0.4004717698882758,0.39227895713878874,False
WEEKEND-harvest,weekend_4w@h1,1417,-0.01984804964990946,-2.5158413228425864,-0.023351859749598528,-2.119735306949886,-0.016484779651037798,-1.460546958839654,2.5158413228425864,True
WEEKEND-harvest,weekend_4w@h2,1416,-0.000287248531525693,-0.03790604577503249,0.007520255929002143,0.6913006338188882,-0.00779196888555106,-0.7378056087094388,0.03790604577503249,False
