config,sharpe_1x,sharpe_2x,sharpe_3x,ret_1x,ret_2x,vol_1x,dd_1x,dd_2x,calmar_2x,turnover,gross_edge,cost_share,trades,long_gross,short_gross,top5,stage,cell,aw,vw,neut,power,cadence,phase,quantity,weekday,slot,F1,F2,F3,F4,worst,median_fold,npos
deskclosed|volume|a126|v378|R|p1.0|c21|ph4,1.0698774428246312,0.9629064119455356,0.9629064119455356,0.12378586052238671,0.10996614295617912,0.11531504449009318,0.16980400018885167,0.1738339651986791,0.6325929620859544,16.524985478752882,82.235708744771,0.00895278135520598,6851,0.49554382817056863,0.04244902803685935,0.02663761636290183,A2,deskclosed,126,378,False,1.0,21,4,volume,1,1,1.6897828643946036,1.2135043056150383,1.6796219022099792,-0.6400501453039723,-0.6400501453039723,1.4465631039125086,3
deskclosed|volume|a126|v189|N|p1.0|c21|ph4,0.6575126328771806,0.5318323855495901,0.5318323855495901,0.0707069168543677,0.05549802656077696,0.11376467064030264,0.12578018904581956,0.1325374329731711,0.41873473263973016,19.071241365103514,46.79899112691631,0.010609721986978779,7033,0.37618273440954353,-0.02284466150850914,0.02481115950112942,A2,deskclosed,126,189,True,1.0,21,4,volume,1,1,0.8880265141355369,0.6584161366032307,0.9363954513544216,-0.2977140888505149,-0.2977140888505149,0.7732213253693838,3
deskclosed|volume|a126|v252|N|p1.0|c21|ph4,0.6260878758918794,0.5025776019726172,0.5025776019726172,0.06678606626133643,0.05191287794151078,0.11358794807541645,0.1416040238124442,0.14846981359482148,0.34965274546099023,18.698353864001515,45.63780418410058,0.010447868594610249,7132,0.3758751008194074,-0.03804130119093785,0.025121610517550394,A2,deskclosed,126,252,True,1.0,21,4,volume,1,1,0.8135216902554249,0.7953504253623501,0.9465764529368335,-0.47589193472810853,-0.47589193472810853,0.8044360578088875,3
deskclosed|volume|a126|v378|N|p1.0|c21|ph4,0.6293573307990241,0.5090967183765831,0.5090967183765831,0.0676992884059533,0.05308041228800797,0.11452854729565169,0.15645719099714772,0.1635891881606396,0.3244738413634318,18.390377837086547,46.725235427461,0.010223265842330471,7175,0.40025259640280053,-0.060066051009741966,0.02598044505166169,A2,deskclosed,126,378,True,1.0,21,4,volume,1,1,0.5528792534789385,0.9183067018362288,1.4568723523050138,-0.6740764747376377,-0.6740764747376377,0.7355929776575836,3
deskclosed|volume|a126|v504|N|p1.0|c21|ph4,0.4673262388308546,0.34675618758841936,0.34675618758841936,0.04797718558575914,0.03362793818750709,0.11426971306969072,0.1757288974251202,0.1825604590592752,0.18420165221313614,18.3792019742892,36.60729043183382,0.010281292054351727,7072,0.3643152865198824,-0.09795515673483884,0.025689135086972088,A2,deskclosed,126,504,True,1.0,21,4,volume,1,1,0.5830682670966117,0.8459421164963444,0.9561376545030926,-0.8853169125016579,-0.8853169125016579,0.7145051917964781,3
deskclosed|volume|a189|v378|R|p1.0|c21|ph4,0.9154012959313933,0.8272021027370287,0.8272021027370287,0.10482975519006676,0.09354630126619567,0.11631374008953707,0.17898875129070024,0.18314034518439404,0.5107902421610542,13.70466902217915,85.09085740897751,0.00753570575994582,6794,0.466154703996703,-0.004490253493408591,0.026594115660523433,A2,deskclosed,189,378,False,1.0,21,4,volume,1,1,0.7708044591727541,1.994152740215467,1.5407160221026048,-0.7643207770582912,-0.7643207770582912,1.1557602406376795,3
deskclosed|volume|a189|v189|N|p1.0|c21|ph4,0.7935211400481589,0.6918546651613531,0.6918546651613531,0.08975704858831723,0.07687594444333912,0.1169586728186835,0.11991655270485402,0.12452135341283577,0.6173715779370471,15.876735186582296,65.77433585053193,0.008851788582883805,6575,0.5060786504484918,-0.09265753418058481,0.02703724052056503,A2,deskclosed,189,189,True,1.0,21,4,volume,1,1,-0.08179881463639181,1.7660361258500035,1.1748006175039643,0.2230921828094616,-0.08179881463639181,0.6989464001567129,3
deskclosed|volume|a189|v252|N|p1.0|c21|ph4,0.8452339207664669,0.7437862531946625,0.7437862531946625,0.09623871166851616,0.08330342357794396,0.11679555074250564,0.1108113299804363,0.11543653644635676,0.7216382797196533,15.846933809212642,69.63033996131306,0.008821989183342434,6793,0.5011430830972999,-0.06430676080868142,0.026871745122332116,A2,deskclosed,189,252,True,1.0,21,4,volume,1,1,-0.0023473089990275822,1.9426872213992554,1.2482399193151579,0.08720402282190347,-0.0023473089990275822,0.6677219710685307,3
deskclosed|volume|a189|v378|N|p1.0|c21|ph4,0.7072152971183355,0.6088852940869787,0.6088852940869787,0.07900049716380608,0.06662817729265158,0.11725749419834025,0.12428927636133402,0.12876332261021806,0.517446862522669,15.392071411126265,61.20595868874608,0.0086053886011669,7032,0.4431604870766705,-0.07019748060964681,0.027699474869349153,A2,deskclosed,189,378,True,1.0,21,4,volume,1,1,-0.23311603649977658,2.209026845766567,1.2832252230389092,-0.40274625132270375,-0.40274625132270375,0.5250545932695663,2
deskclosed|volume|a189|v504|N|p1.0|c21|ph4,0.5087837891992971,0.4099676869276605,0.4099676869276605,0.05411996354613735,0.04199015294757902,0.11709473598994771,0.16596998152937725,0.17099032462994568,0.24557034462887525,15.441671330296195,45.936284300779654,0.008701736950930383,7375,0.39031547254632315,-0.10949733796423983,0.027284156954959164,A2,deskclosed,189,504,True,1.0,21,4,volume,1,1,-0.17755179116470854,2.0328297989484323,1.0751163790244551,-0.9414676813397296,-0.9414676813397296,0.4487822939298733,2
deskclosed|volume|a252|v378|R|p1.0|c21|ph4,1.088123338172996,1.0083986565342584,1.0083986565342584,0.12777734754390302,0.11731625950477143,0.116796019325394,0.178787136813929,0.1814399219524757,0.6465846007997066,12.441080342235777,109.66058023956327,0.006788437979660224,6813,0.5101178870686291,0.02999385232928492,0.028145133537555145,A2,deskclosed,252,378,False,1.0,21,4,volume,1,1,1.4379745237085757,1.7977997644277695,1.1505347519888973,-0.2961931480007744,-0.2961931480007744,1.2942546378487365,3
deskclosed|volume|a252|v189|N|p1.0|c21|ph4,0.9077565507182581,0.8136150327722637,0.8136150327722637,0.10488767753185702,0.09270114471029545,0.11749447836733098,0.10048695781819628,0.10140533520136885,0.9141643733656737,14.803959284412187,79.44087658845869,0.00822109164816058,6976,0.537946655625166,-0.0723638936632513,0.02758541508765968,A2,deskclosed,252,189,True,1.0,21,4,volume,1,1,0.34366722459959087,1.5085242543185358,1.0609138017857496,0.5507507384950463,0.34366722459959087,0.8058322701403979,4
deskclosed|volume|a252|v252|N|p1.0|c21|ph4,0.9145152161093684,0.823316890870671,0.823316890870671,0.10565199359093613,0.09384447069125268,0.11736648973222016,0.10149895421678623,0.10298056304443548,0.9112833326688976,14.330744385864802,82.30799059040169,0.007961446588505354,7095,0.5167510064396892,-0.04978449999469425,0.02676150233710935,A2,deskclosed,252,252,True,1.0,21,4,volume,1,1,0.28542809589635737,1.6573832797538586,1.1240459531352456,0.4671464900791424,0.28542809589635737,0.795596221607194,4
deskclosed|volume|a252|v378|N|p1.0|c21|ph4,0.8561573404164768,0.7649058055658857,0.7649058055658857,0.0976238008180017,0.08599109637381819,0.11677434193616613,0.10583949452876751,0.10740555384691464,0.8006205758817787,14.219121206007445,77.80501185248825,0.007899905793762076,7294,0.5086318616491837,-0.07065082006563081,0.02765552117694041,A2,deskclosed,252,378,True,1.0,21,4,volume,1,1,0.04909814858822588,1.696822567305124,1.143132315012583,0.4868236385613513,0.04909814858822588,0.8149779767869672,4
