config,sharpe_1x,sharpe_2x,sharpe_3x,ret_1x,ret_2x,vol_1x,dd_1x,dd_2x,calmar_2x,turnover,gross_edge,cost_share,trades,long_gross,short_gross,top5,stage,cell,aw,vw,neut,power,cadence,phase,quantity,weekday,slot,F1,F2,F3,F4,worst,median_fold,npos
deskclosed|volume|a252|v378|N|p1.0|c3|ph0,0.35281676429332287,0.06553013563205773,0.06553013563205773,0.03421850766792445,0.0009755023692701315,0.11372349364880018,0.12307608564115347,0.1389046473384109,0.007022820243685098,43.454873819857816,16.607175075489337,0.025598600780965833,35280,0.48041734147234105,-0.1947179996211128,0.027665253599170176,C,deskclosed,252,378,True,1.0,3,0,volume,-1,0,-0.4493854470265421,0.904494180625131,0.2582073037827159,-0.22867748610881244,-0.4493854470265421,0.014764908836951723,2
deskclosed|volume|a252|v378|N|p1.0|c3|ph1,0.5698707403979213,0.2723519918098309,0.2723519918098309,0.05884117035753689,0.024385564924839676,0.11120216607607562,0.10670322234492957,0.12196601218738545,0.19993737999217617,44.05150922919009,21.818462254574122,0.025569431085118187,35272,0.47879492995780787,-0.09829032816723648,0.02671489668868403,C,deskclosed,252,378,True,1.0,3,1,volume,-1,1,-0.6407258133939814,1.2537186375789966,0.8168539508794791,0.029002801358823552,-0.6407258133939814,0.42292837611915135,3
deskclosed|volume|a252|v378|N|p1.0|c3|ph2,0.6115101781675294,0.34870591519686084,0.34870591519686084,0.06496261961149985,0.033679070459789795,0.11347124981326343,0.10686849180969893,0.1141105927940036,0.2951441197101519,39.699023108444365,24.851129764937152,0.02304822539331989,35756,0.4946956247853654,-0.1041237739362478,0.028167400654130346,C,deskclosed,252,378,True,1.0,3,2,volume,-1,2,-0.4127756419793577,1.2704369351431493,0.9604441646810231,-0.058364282984122544,-0.4127756419793577,0.4510399408484503,2
deskclosed|volume|a252|v378|N|p1.0|c6|ph0,0.3704522759657282,0.16843435198373607,0.16843435198373607,0.0365187015328059,0.012807853868040064,0.11455999955411136,0.12974826283480223,0.14035361225370935,0.09125418051149282,30.7736474545469,21.12916910657102,0.017999983137375494,19347,0.44265445246513874,-0.1852379555940268,0.027564810946075005,C,deskclosed,252,378,True,1.0,6,0,volume,-1,0,-0.5534272180069327,1.15093984068624,0.45557882054703525,-0.09436472592845965,-0.5534272180069327,0.18060704730928778,2
deskclosed|volume|a252|v378|N|p1.0|c6|ph1,0.5161710040214161,0.3131892037219077,0.3131892037219077,0.05379836005447558,0.029658449696355005,0.11418069854904597,0.1222059780641872,0.13850841656774904,0.21412741861681797,30.857921611779588,26.462191962456018,0.01785044934190386,19268,0.43951330080658846,-0.11624176261725574,0.030081125961547245,C,deskclosed,252,378,True,1.0,6,1,volume,-1,1,-0.635644217558368,1.3566813432273306,0.952521891706059,0.02256204966914386,-0.635644217558368,0.48754197068760147,3
deskclosed|volume|a252|v378|N|p1.0|c6|ph2,0.6075786454113157,0.4159209079368595,0.4159209079368595,0.06495223400917216,0.04186824911390641,0.11437699476388992,0.10775989089817051,0.11434834566857155,0.36614652244517626,29.18061081313783,31.18222090664789,0.016793164633416333,19448,0.4740948938351328,-0.11386777466852113,0.029990836417635877,C,deskclosed,252,378,True,1.0,6,2,volume,-1,2,-0.3541093750160335,1.3586876806243315,0.7015540334722504,0.28267768971723706,-0.3541093750160335,0.49211586159474374,3
deskclosed|volume|a252|v378|N|p1.0|c6|ph3,0.6512015595325715,0.4489048375557971,0.4489048375557971,0.07082167455398491,0.04616010703700102,0.11531684137066722,0.10194848492005326,0.10809195094659618,0.4270448135384923,31.020708971197948,31.533348802097578,0.01782244408315158,19867,0.48265243620065396,-0.09539764767148406,0.028761454354327632,C,deskclosed,252,378,True,1.0,6,3,volume,-1,0,-0.41604826165835296,1.212101249815994,0.956568753217033,0.44715782483264926,-0.41604826165835296,0.7018632890248412,3
deskclosed|volume|a252|v378|N|p1.0|c6|ph4,0.627211177623761,0.4199058951621912,0.4199058951621912,0.06657999247133728,0.04191460905474709,0.11296721078467278,0.14110562640371704,0.15052317513620095,0.27845950643029316,31.128434664554586,30.148540190961857,0.017992484228502633,19428,0.46284794327868384,-0.0913139520860953,0.02756085460019628,C,deskclosed,252,378,True,1.0,6,4,volume,-1,1,-0.6813728037498946,1.4229481834808388,0.8131850407435604,0.4840176190577741,-0.6813728037498946,0.6486013299006672,3
deskclosed|volume|a252|v378|N|p1.0|c6|ph5,0.5810064377807884,0.3903301629398151,0.3903301629398151,0.06192125643780755,0.038963727510480384,0.1147610305125554,0.10159500503296437,0.11682511416297248,0.3335218440799082,29.11355223625248,30.232571159893396,0.016859306113821207,19606,0.45846129224781595,-0.11000744433927434,0.027943037046686714,C,deskclosed,252,378,True,1.0,6,5,volume,-1,2,-0.5183114126878877,1.3717642825696306,0.9390009265177104,0.16268284348894244,-0.5183114126878877,0.5508418850033264,3
deskclosed|volume|a252|v378|N|p1.0|c9|ph0,0.57743080399596,0.42043405815262236,0.42043405815262236,0.062841016228387,0.04339798295911157,0.11753364570155965,0.1303925293144197,0.1460945618509043,0.29705406148793584,24.583053139456663,34.87519854060964,0.014099034189095708,13967,0.4908856887445181,-0.15147345553469574,0.03067066300240231,C,deskclosed,252,378,True,1.0,9,0,volume,-1,0,-0.7126807925315302,1.586217039952176,0.8220307790519547,0.4754455374293826,-0.7126807925315302,0.6487381582406686,3
deskclosed|volume|a252|v378|N|p1.0|c9|ph1,0.5087569553145294,0.34824690121420965,0.34824690121420965,0.053631127679686585,0.03420214992206194,0.11592103788144477,0.12022539110574404,0.12769106549644105,0.2678507677032048,24.77343230199458,31.164122319074984,0.01429342260615414,14022,0.45454111049879437,-0.14889697716036268,0.030643084376127682,C,deskclosed,252,378,True,1.0,9,1,volume,-1,1,-0.6545955040693351,1.22163820011773,0.9283138014840742,0.32722750685730345,-0.6545955040693351,0.6277706541706888,3
deskclosed|volume|a252|v378|N|p1.0|c9|ph2,0.7610661827942521,0.6057871357205354,0.6057871357205354,0.08298992945723427,0.06410609825590297,0.11319448443375596,0.09504065107018145,0.09968341417747262,0.6430969362844141,23.423136725858985,44.21347453444084,0.01336972946225263,14124,0.46593404849335557,-0.05594271028370179,0.02621240557915616,C,deskclosed,252,378,True,1.0,9,2,volume,-1,2,-0.09717293799124917,1.4475731644042746,0.7111771498046219,0.5965180193312175,-0.09717293799124917,0.6538475845679197,3
