config,sharpe_1x,sharpe_2x,sharpe_3x,ret_1x,ret_2x,vol_1x,dd_1x,dd_2x,calmar_2x,turnover,gross_edge,cost_share,trades,long_gross,short_gross,top5,pass,aw,vw,power,cadence,phase,weekday,slot,F1,F2,F3,F4,worst,median_fold,npos
a126|v189|p1.0|c21|ph4,0.39612306567406347,0.2904368335069537,0.2904368335069537,0.041047971556445795,0.027964752836135975,0.11974625363234633,0.1665059001871656,0.17026623930698237,0.1642413255261766,16.821091463095843,35.66210494882996,0.010033658193574725,5533,0.5051397826645544,-0.2676548129206934,0.04056987581714662,windows,126,189,1.0,21,4,1,1,0.10074397017693709,0.6843263953445302,0.5463999161386947,-0.051494098143591856,-0.051494098143591856,0.3235719431578159,3
a126|v252|p1.0|c21|ph4,0.23364083113432785,0.13126283310765288,0.13126283310765288,0.020927741093496932,0.008542018051221012,0.11922530456581668,0.17991466750948903,0.18383375182283346,0.04646599422859645,16.23942397614891,24.62322334796761,0.009928123419750192,5222,0.4661035277330382,-0.3078000311817519,0.040603956849277166,windows,126,252,1.0,21,4,1,1,-0.22559759466338922,0.8379790988869811,0.5273178818972065,-0.4131886391494941,-0.4131886391494941,0.15086014361690864,2
a126|v315|p1.0|c21|ph4,0.617258494057057,0.5140795945091573,0.5140795945091573,0.06845319765346458,0.05545013023417855,0.11864146822977419,0.19300905731379947,0.2002165069607107,0.27695084224528876,16.32104713091481,52.42543643512768,0.009779228402369092,5249,0.4431912915145769,-0.10445240457366217,0.040159435369323274,windows,126,315,1.0,21,4,1,1,1.3488084212200429,0.7981328064175057,0.8408379647447312,-0.8301555985912497,-0.8301555985912497,0.8194853855811184,3
a126|v378|p1.0|c21|ph4,0.5088162063173569,0.4096539155276589,0.4096539155276589,0.05500630932922079,0.04260654436071665,0.11913321358246817,0.17945534332645674,0.18674459159316614,0.22815410072778686,15.742952265840206,46.0466599227905,0.009633629072235056,4757,0.5055432933288775,-0.2185582293714311,0.04136469269604427,windows,126,378,1.0,21,4,1,1,0.7937293966766278,0.7495312393792645,0.8200885565528305,-0.5866088649224847,-0.5866088649224847,0.7716303180279461,3
a126|v441|p1.0|c21|ph4,0.12385651340171885,0.0245268563302629,0.0245268563302629,0.007652035406997548,-0.00381790350702782,0.11528317974730358,0.19864648882148417,0.20550316354036358,-0.018578319872326114,15.23939417332188,17.18869376636212,0.009694045899349557,4803,0.262780992244534,-0.15907936784302357,0.04166633370108033,windows,126,441,1.0,21,4,1,1,-0.1389377022152276,0.6103468678114533,0.7551567440303342,-0.8804466742276551,-0.8804466742276551,0.23570458279811285,2
a126|v504|p1.0|c21|ph4,-0.06487731784910297,-0.16251233233133927,-0.16251233233133927,-0.014263829754268875,-0.025410339752878097,0.11651018065333947,0.21882034845032583,0.2253903173497236,-0.11273926959981388,15.135287492604569,2.469406436785469,0.009860080589140351,5007,0.30797609444507745,-0.29317962051750784,0.03859070502901176,windows,126,504,1.0,21,4,1,1,-0.47660641133427745,0.5776332648716996,0.5637048741935394,-1.0700694737300196,-1.0700694737300196,0.04354923142963099,2
a189|v189|p1.0|c21|ph4,1.0478168397393794,0.9543901941404007,0.9543901941404007,0.1191626330136899,0.10738585313372528,0.11364222853286852,0.14108491450557015,0.1419199452211134,0.7566649843784573,14.128630536485145,91.74664046048582,0.008231214406811564,4797,0.7053442119888,-0.19216953039612364,0.03511046785687096,windows,189,189,1.0,21,4,1,1,0.05217550963857673,1.6893341893060478,1.78123930806763,0.7022765496085911,0.05217550963857673,1.1958053694573194,4
a189|v252|p1.0|c21|ph4,0.8423178441589825,0.7508704272218156,0.7508704272218156,0.09349415884670065,0.08219439570747045,0.11384791348351096,0.14966647374297004,0.15048556325906204,0.5461945579854206,13.8688849392307,76.6370713019028,0.008271477393924215,4735,0.6501690322571965,-0.2293887045502238,0.037288602632472634,windows,189,252,1.0,21,4,1,1,-0.4436477790096916,2.0139860348671568,1.716580138062278,0.22758473023719744,-0.4436477790096916,0.9720824341497377,3
a189|v315|p1.0|c21|ph4,1.2764031575085188,1.1822664772249372,1.1822664772249372,0.14641047206710955,0.1344024448323391,0.1119736985073625,0.11717003850935859,0.1193137485627731,1.12646234362193,14.0536511016491,109.31205870001293,0.008227821052307169,4957,0.6066325524604271,0.0015475727121587457,0.03301096098234448,windows,189,315,1.0,21,4,1,1,1.1470297461588295,1.9672600830358389,1.8350694467284676,0.05520641267437553,0.05520641267437553,1.4910495964436485,4
a189|v378|p1.0|c21|ph4,1.1351106088924163,1.0440774419710133,1.0440774419710133,0.12757359476152197,0.11621374236991211,0.11124003162043807,0.12178419357997372,0.12334726495811044,0.9421671604099132,13.513531640854128,101.13572248807719,0.008084094718716569,4664,0.6435864535842373,-0.10252271781096886,0.03263092768678129,windows,189,378,1.0,21,4,1,1,0.69667732507672,1.7828877734969362,1.6755056887085025,0.2932648237202917,0.2932648237202917,1.1860915068926112,4
a189|v441|p1.0|c21|ph4,0.7872519425710824,0.6983458070161483,0.6983458070161483,0.08495500345109686,0.07427207539644787,0.11148280551086986,0.14462502023984725,0.14643351471126542,0.5072068067402193,13.204914125570623,74.2930778333994,0.008224828335615126,4333,0.4129698520093446,-0.024588012239133705,0.0393194826801927,windows,189,441,1.0,21,4,1,1,-0.4477675177484332,1.7165242292982255,1.7622568834081833,0.1831615524493876,-0.4477675177484332,0.9498428908738066,3
