symbol,n_is_total,n_valid_tbr_raw,n_valid_tbr_zscore_30,coverage_zscore_pct,date_start,date_end
BCHUSDT,2193,2193,2193,100.0,2023-03-24 00:00:00,2025-03-23 16:00:00
LDOUSDT,2193,2193,2193,100.0,2023-03-24 00:00:00,2025-03-23 16:00:00
TRXUSDT,2193,2193,2193,100.0,2023-03-24 00:00:00,2025-03-23 16:00:00
