cluster,rep,members
1,stat_skew_30,stat_skew_30|stat_skew_50
2,vol_cmf_14,vol_cmf_14|vol_cmf_20
3,mr_pct_from_high_50,mr_pct_from_high_50|mr_pct_from_high_20|mom_stoch_d_21|mom_stoch_k_14|mom_stoch_k_21|mom_stoch_d_14|trend_minus_di_21|vol_mfi_21|mom_stoch_d_9|mom_stoch_k_9|trend_minus_di_14|mr_rsi_extreme_7|trend_minus_di_7|mr_pct_from_high_10
4,trend_aroon_up_14,trend_aroon_up_14
5,mr_pct_from_low_50,mr_pct_from_low_50
6,basis_zscore_30,basis_zscore_30
7,mr_pct_from_low_5,mr_pct_from_low_5
8,mom_macd_hist_5_13_3,mom_macd_hist_5_13_3
9,rev_vol_gate_signed,rev_vol_gate_signed
10,vol_taker_buy_ratio_sma_50,vol_taker_buy_ratio_sma_50|vol_taker_buy_ratio_sma_10|vol_taker_buy_ratio_sma_20|vol_taker_buy_ratio_sma_5
11,vol_taker_buy_ratio,vol_taker_buy_ratio
12,vol_range_spike_24,vol_range_spike_24|vol_volume_rel_20|vol_range_spike_36|vol_volume_rel_50|vol_volume_pctchg_5
13,vol_volume_pctchg_20,vol_volume_pctchg_20
14,interact_ret1_x_ret3,interact_ret1_x_ret3
15,trend_adx_14,trend_adx_14|trend_adx_21
16,trend_adx_7,trend_adx_7
17,interact_natr_x_adx,interact_natr_x_adx|vol_parkinson_20|vol_garman_klass_20|vol_garman_klass_10|vol_natr_7|vol_bb_bandwidth_30|vol_natr_14|vol_garman_klass_30|vol_parkinson_10|vol_natr_21|vol_bb_bandwidth_20|vol_hist_20|vol_bb_bandwidth_10|vol_bb_bandwidth_15|vol_hist_5|vol_hist_10
18,vol_state_z_natr_30,vol_state_z_natr_30
19,cusum_norm_2s,cusum_norm_2s
20,btc_funding_spread_30_90,btc_funding_spread_30_90
21,btc_funding_rate_8h_impulse,btc_funding_rate_8h_impulse
22,hurst_100,hurst_100
23,ent_volume_20,ent_volume_20
