feature,in_19col,ic_full,n_full,n_subperiods,frac_same_sign,mean_abs_ic,ic_dispersion,worst_signed_ic,recent_ic,recent_same_sign,stability_score,ic_2020-01-01,ic_2020-07-01,ic_2020-12-31,ic_2021-07-01,ic_2021-12-31,ic_2022-07-01,ic_2022-12-31,ic_2023-07-01,ic_2023-12-31,ic_2024-06-30,ic_2024-12-30,adf_p,stationary
interact_natr_x_adx,False,0.0796,5705,11,0.909,0.1307,0.1169,-0.1868,0.1321,True,0.11886,0.11,0.2229,0.0932,0.2686,0.1291,-0.1868,0.0964,0.0895,0.1035,0.006,0.1321,7.422332094786373e-17,True
trend_adx_14,True,0.0877,5705,11,0.818,0.1433,0.1509,-0.3,0.1156,True,0.11727,0.0536,0.2139,0.08,0.2687,0.1088,-0.3,0.1674,0.0753,0.1576,-0.0357,0.1156,1.6372281908665083e-18,True
vol_taker_buy_ratio_sma_50,False,0.0597,5669,11,0.818,0.14,0.1364,-0.1901,-0.1901,False,0.11458,0.1961,0.1916,0.1256,0.2495,0.0122,0.0425,0.092,0.1396,0.2016,-0.0998,-0.1901,2.8302376783570554e-08,True
vol_taker_buy_ratio_sma_10,False,0.0643,5709,11,0.818,0.1336,0.1184,-0.1398,0.0722,True,0.10929,0.1823,0.1555,0.0469,0.0873,0.1675,-0.1225,0.2191,0.1397,0.1367,-0.1398,0.0722,6.751054305627315e-11,True
trend_adx_21,False,0.0863,5698,11,0.818,0.1238,0.1203,-0.1494,0.1882,True,0.10132,0.0423,0.2214,0.081,0.2802,0.0671,-0.1494,0.0687,0.0698,0.1573,-0.037,0.1882,2.237531939537382e-16,True
btc_funding_spread_30_90,True,-0.0699,5566,11,0.727,0.1307,0.1418,-0.274,0.274,False,0.09508,-0.0984,-0.1771,0.078,-0.1311,0.1141,-0.1353,-0.0382,-0.1199,-0.1548,-0.117,0.274,1.932232389014488e-20,True
vol_taker_buy_ratio_sma_20,False,0.0268,5699,11,0.727,0.1159,0.1292,-0.1831,-0.0646,False,0.08431,0.1429,0.0944,0.0987,0.1397,0.1372,-0.1755,0.189,0.045,0.0052,-0.1831,-0.0646,5.880373434818276e-06,True
vol_taker_buy_ratio_sma_5,True,0.0737,5714,11,0.818,0.1026,0.0911,-0.044,0.0076,True,0.08394,0.2039,0.169,0.0131,0.044,0.1748,-0.044,0.1762,0.1365,0.1425,-0.017,0.0076,4.937502880648513e-16,True
vol_parkinson_20,False,0.0484,5699,11,0.909,0.0919,0.0745,-0.0651,0.0632,True,0.08354,0.1599,0.1203,0.0379,0.1183,0.1759,-0.0651,0.0095,0.1011,0.0151,0.1444,0.0632,2.3352939922752172e-07,True
trend_adx_7,True,0.0631,5712,11,0.727,0.114,0.1438,-0.2757,0.0449,True,0.08294,-0.0249,0.1251,0.0072,0.1732,0.0558,-0.2757,0.2905,0.1009,0.1382,-0.0181,0.0449,3.3875491031063875e-24,True
vol_garman_klass_20,False,0.0509,5699,11,0.909,0.091,0.0757,-0.0583,0.0706,True,0.08272,0.1441,0.122,0.0378,0.0998,0.2059,-0.0583,0.0023,0.1042,0.0166,0.1394,0.0706,2.1075641773913272e-08,True
vol_garman_klass_10,True,0.0535,5709,11,0.909,0.0875,0.0623,-0.0361,0.0824,True,0.07956,0.0548,0.1643,0.0298,0.1515,0.1488,-0.0361,0.0306,0.0746,0.0607,0.1291,0.0824,8.787458476476724e-14,True
