feature,in_19col,ic_full,n_full,n_subperiods,frac_same_sign,mean_abs_ic,ic_dispersion,worst_signed_ic,recent_ic,recent_same_sign,stability_score,ic_2020-01-01,ic_2020-07-01,ic_2020-12-31,ic_2021-07-01,ic_2021-12-31,ic_2022-07-01,ic_2022-12-31,ic_2023-07-01,ic_2023-12-31,ic_2024-06-30,ic_2024-12-30
mr_zscore_20,False,0.0077,5699,11,0.455,0.0821,0.1049,-0.2251,-0.1772,False,0.03733,-0.0814,0.0247,0.0308,-0.0563,0.0819,-0.2251,0.1122,-0.0219,0.0575,-0.0344,-0.1772
oi_delta_30_z90,False,-0.0055,4555,10,0.5,0.0745,0.093,-0.0616,-0.1277,True,0.03726,,-0.2017,0.0616,0.0563,0.0535,-0.0931,-0.0029,0.0134,0.0254,-0.1097,-0.1277
vol_hist_10,False,0.0171,5708,11,0.727,0.0507,0.0497,-0.036,0.05,True,0.03686,0.0767,0.1384,0.028,0.0767,-0.003,-0.0094,0.0122,-0.036,0.0555,0.0717,0.05
mom_rsi_7,False,0.0231,5717,11,0.545,0.0672,0.0894,-0.1711,-0.1563,False,0.03667,-0.036,0.0321,0.022,-0.0422,0.04,-0.1711,0.1161,0.0084,0.0841,-0.031,-0.1563
trend_plus_di_7,False,0.0166,5712,11,0.636,0.0575,0.0835,-0.178,-0.1228,False,0.03657,0.0334,0.002,0.0129,0.0062,0.0362,-0.178,0.1242,-0.0088,0.0381,-0.0695,-0.1228
vol_volume_pctchg_20,False,0.034,5698,11,0.727,0.0503,0.0551,-0.0605,-0.0289,False,0.03657,0.03,0.0357,0.0415,0.0313,-0.0259,-0.0605,0.101,0.0379,0.1315,0.0288,-0.0289
vol_volume_rel_50,False,0.0245,5669,11,0.727,0.0502,0.0558,-0.0852,0.1235,True,0.03653,0.024,0.0483,-0.0071,0.0818,-0.0852,-0.0105,0.0778,0.0109,0.0492,0.0342,0.1235
mom_macd_hist_12_26_9,False,-0.0007,5685,11,0.545,0.0669,0.0833,-0.1257,-0.0717,True,0.03647,-0.0361,-0.0552,0.0323,-0.0744,0.1257,-0.175,0.0819,0.003,0.0307,-0.0494,-0.0717
hurst_100,False,0.0209,5619,11,0.727,0.0501,0.0634,-0.0589,-0.0422,False,0.03642,0.1403,-0.0344,0.0923,0.0158,0.0051,-0.0589,0.0362,0.0087,0.1044,0.0125,-0.0422
rev_halflife_50,False,-0.0168,5579,11,0.636,0.057,0.0727,-0.0784,-0.0686,True,0.03626,-0.0031,0.0784,0.0703,0.0245,-0.0518,-0.173,-0.0267,0.0001,-0.0356,-0.0947,-0.0686
rev_vol_gate_signed,False,-0.0179,5665,11,0.727,0.0498,0.0552,-0.0661,-0.046,True,0.03624,0.0661,-0.0679,-0.0127,0.0566,-0.0992,0.0396,-0.0826,-0.0164,-0.0207,-0.0403,-0.046
mom_macd_hist_5_13_3,False,0.0041,5704,11,0.727,0.0495,0.0663,-0.132,0.0082,True,0.03599,-0.0133,0.0069,-0.0939,-0.132,0.0846,0.0289,0.0705,0.025,0.0194,0.0617,0.0082
trend_sma_cross_20_50,False,0.0277,5669,11,0.455,0.0767,0.101,-0.1929,-0.1929,False,0.03488,0.0539,0.1659,-0.0104,0.0563,-0.1036,-0.108,-0.104,0.0002,0.0413,-0.0075,-0.1929
btc_oi_delta_5_z30,False,-0.0022,4845,10,0.5,0.0697,0.0851,-0.0977,-0.1068,True,0.03483,,0.0038,-0.0371,0.0822,-0.1512,-0.0789,0.0626,0.0596,0.0977,-0.0168,-0.1068
mom_rsi_5,False,0.0228,5717,11,0.545,0.0632,0.0822,-0.1522,-0.1211,False,0.03449,-0.0351,0.0313,0.0075,-0.0507,0.0506,-0.1522,0.1148,0.0226,0.0925,-0.017,-0.1211
vol_range_spike_48,False,0.0258,5671,11,0.636,0.0541,0.0586,-0.0717,0.1207,True,0.03443,-0.0336,0.079,-0.0156,0.0682,-0.0717,-0.0146,0.0735,0.0084,0.0658,0.0441,0.1207
mr_zscore_10,False,0.0125,5709,11,0.545,0.0631,0.08,-0.1256,-0.1256,False,0.03441,-0.0543,0.0124,-0.0066,-0.1047,0.0517,-0.1171,0.0836,0.0068,0.1075,0.0238,-0.1256
mr_bb_pctb_10,False,0.0125,5709,11,0.545,0.0631,0.08,-0.1256,-0.1256,False,0.03441,-0.0543,0.0124,-0.0066,-0.1047,0.0517,-0.1171,0.0836,0.0068,0.1075,0.0238,-0.1256
vol_bb_pctb_10,False,0.0125,5709,11,0.545,0.0631,0.08,-0.1256,-0.1256,False,0.03441,-0.0543,0.0124,-0.0066,-0.1047,0.0517,-0.1171,0.0836,0.0068,0.1075,0.0238,-0.1256
oi_price_divergence_30,False,0.0178,4554,10,0.5,0.0685,0.0838,-0.1056,0.0462,True,0.03425,,-0.0657,0.0944,0.0171,0.0969,-0.0063,-0.0474,0.1552,-0.1056,-0.0501,0.0462
trend_ema_cross_9_21,False,0.0195,5698,11,0.455,0.0741,0.11,-0.2648,-0.2648,False,0.03367,-0.0541,0.0522,0.0627,0.0302,-0.0428,-0.2331,0.0339,-0.0193,0.0084,-0.0134,-0.2648
stat_skew_20,False,0.0168,5698,11,0.545,0.0608,0.076,-0.0688,0.1324,True,0.03318,0.0682,-0.0264,0.0196,0.1544,0.0648,0.0109,-0.0659,-0.0147,-0.0429,-0.0688,0.1324
mom_macd_line_5_13_3,False,0.0048,5706,11,0.455,0.0726,0.0938,-0.1983,-0.1983,False,0.03299,-0.0825,0.0587,0.0343,-0.0231,0.0232,-0.1915,0.0571,-0.0327,0.0611,-0.0359,-0.1983
vol_volume_pctchg_10,False,0.0033,5708,11,0.636,0.0517,0.0675,-0.1344,0.1322,True,0.03291,-0.0417,0.0229,0.0459,0.0464,-0.1344,0.0501,0.0177,-0.0119,-0.0271,0.0386,0.1322
interact_rsi_x_adx,False,0.0308,5705,11,0.455,0.0722,0.0978,-0.2212,-0.2212,False,0.03284,-0.0458,0.0847,0.0415,0.0125,-0.031,-0.1501,0.091,-0.0046,0.0739,-0.0384,-0.2212
stat_autocorr_lag10,False,-0.0063,5668,11,0.364,0.0899,0.145,-0.3002,-0.1335,True,0.03269,0.0754,0.0284,0.005,0.3002,0.0068,0.0131,-0.2903,-0.0164,0.1079,-0.0119,-0.1335
vol_bb_pctb_15,False,0.0105,5704,11,0.455,0.0719,0.0922,-0.1724,-0.1508,False,0.03268,-0.0827,0.0157,0.0152,-0.0676,0.0519,-0.1724,0.1071,-0.0085,0.1008,-0.0182,-0.1508
mr_bb_pctb_15,False,0.0105,5704,11,0.455,0.0719,0.0922,-0.1724,-0.1508,False,0.03268,-0.0827,0.0157,0.0152,-0.0676,0.0519,-0.1724,0.1071,-0.0085,0.1008,-0.0182,-0.1508
stat_kurtosis_10,False,-0.0128,5708,11,0.455,0.0713,0.0856,-0.1126,-0.0875,True,0.0324,0.082,0.0294,0.0379,-0.1371,-0.1088,-0.0079,0.0551,-0.1034,0.0221,0.1126,-0.0875
mr_zscore_50,False,0.0278,5669,11,0.545,0.0593,0.0894,-0.1974,-0.1663,False,0.03232,-0.0111,0.0879,0.0047,-0.0101,0.018,-0.1974,0.0524,0.0236,0.0598,-0.0203,-0.1663
mr_dist_sma_20,False,0.0087,5699,11,0.455,0.0709,0.0987,-0.2158,-0.2013,False,0.03223,-0.0641,0.0241,0.0331,-0.0129,0.0178,-0.2158,0.0847,-0.0206,0.0681,-0.0375,-0.2013
stat_return_10,False,0.0123,5708,11,0.545,0.0591,0.0792,-0.1696,-0.1227,False,0.03222,-0.0576,0.0321,0.0085,-0.0091,0.0367,-0.1696,0.0807,0.0015,0.0811,-0.0502,-0.1227
mom_roc_10,False,0.0123,5708,11,0.545,0.0591,0.0792,-0.1696,-0.1227,False,0.03222,-0.0576,0.0321,0.0085,-0.0091,0.0367,-0.1696,0.0807,0.0015,0.0811,-0.0502,-0.1227
ent_shannon_10,True,0.0097,5708,11,0.455,0.0701,0.0844,-0.0983,-0.0851,False,0.03188,0.0032,-0.0383,0.0493,0.0427,0.1414,-0.0634,-0.0564,0.1342,-0.0592,-0.0983,-0.0851
trend_ema_cross_5_12,False,0.0119,5707,11,0.455,0.0695,0.0935,-0.1937,-0.1917,False,0.0316,-0.0743,0.0351,0.036,-0.0162,0.0165,-0.1937,0.0771,-0.0239,0.0709,-0.0293,-0.1917
interact_rsi_x_natr,False,0.025,5705,11,0.455,0.0682,0.0957,-0.223,-0.223,False,0.031,-0.0798,0.0655,0.0306,0.0114,-0.0252,-0.1706,0.0756,-0.011,0.0463,-0.0113,-0.223
mom_rsi_9,True,0.0251,5717,11,0.455,0.0679,0.0933,-0.1832,-0.1832,False,0.03086,-0.0321,0.0357,0.0314,-0.0334,0.0303,-0.1746,0.1136,-0.0011,0.0793,-0.0321,-0.1832
vol_volume_pctchg_5,False,0.0127,5713,11,0.727,0.0424,0.0567,-0.0835,0.149,True,0.03081,-0.0053,-0.0251,0.0484,0.0204,-0.0835,0.0512,0.0313,0.0137,0.0079,0.0303,0.149
cusum_break_5,False,-0.0085,5718,11,0.636,0.0477,0.0604,-0.0848,-0.0014,True,0.03037,0.0848,0.079,-0.0116,-0.0264,-0.0354,-0.0233,0.031,0.0816,-0.0479,-0.1026,-0.0014
mom_roc_30,False,0.0253,5688,11,0.455,0.0652,0.0905,-0.2151,-0.2151,False,0.02965,-0.0391,0.0647,0.0767,0.0102,-0.0519,-0.1662,0.007,-0.051,-0.0028,0.0327,-0.2151
mom_rsi_14,False,0.0344,5717,11,0.455,0.0652,0.0984,-0.2161,-0.2161,False,0.02965,-0.0096,0.0612,0.0308,-0.0038,0.014,-0.1775,0.0954,-0.0033,0.0773,-0.0285,-0.2161
cusum_norm_1s,False,-0.0193,5717,11,0.636,0.0462,0.0538,-0.0519,-0.1385,True,0.02941,-0.0423,-0.0776,0.0227,-0.0659,0.0519,-0.004,0.0004,0.0142,-0.0463,-0.0447,-0.1385
trend_supertrend_14_3,True,0.0567,5704,11,0.455,0.0646,0.0841,-0.1236,-0.1011,False,0.02936,0.0822,0.0643,0.052,0.1682,-0.0024,-0.1236,-0.0138,-0.0192,0.0365,-0.0474,-0.1011
vol_range_spike_12,False,0.0071,5707,11,0.636,0.0438,0.0638,-0.0839,0.1671,True,0.02788,-0.0324,0.0128,0.0402,0.0347,-0.0839,0.0743,0.0076,0.0109,-0.0061,-0.0118,0.1671
vol_volume_rel_10,False,0.0074,5709,11,0.545,0.0507,0.0703,-0.1107,0.1672,True,0.02764,-0.0183,-0.0326,0.05,0.0602,-0.1107,0.0699,0.0101,0.0285,-0.0089,-0.001,0.1672
mom_mom_10,False,0.0086,5708,11,0.455,0.0608,0.0786,-0.1638,-0.1232,False,0.02762,-0.0607,0.0429,-0.0006,-0.0216,0.0421,-0.1638,0.0664,0.0005,0.0846,-0.0618,-0.1232
mom_macd_line_12_26_9,False,0.0122,5693,11,0.364,0.0724,0.1089,-0.2642,-0.2642,False,0.02632,-0.0254,0.0723,0.0362,0.0446,-0.0655,-0.2334,-0.0087,0.0107,-0.0144,-0.0207,-0.2642
mr_dist_sma_10,False,0.0123,5709,11,0.455,0.0574,0.0703,-0.1138,-0.1134,False,0.02608,-0.0268,0.0217,-0.0426,-0.0621,0.0552,-0.1138,0.0861,-0.0105,0.0836,0.0152,-0.1134
stat_return_3,False,-0.0037,5715,11,0.545,0.0478,0.0563,-0.0798,-0.0956,True,0.02605,-0.0385,0.004,-0.0729,-0.0724,0.0282,-0.0648,0.0798,-0.0065,0.0328,0.0298,-0.0956
mom_roc_3,False,-0.0037,5715,11,0.545,0.0478,0.0563,-0.0798,-0.0956,True,0.02605,-0.0385,0.004,-0.0729,-0.0724,0.0282,-0.0648,0.0798,-0.0065,0.0328,0.0298,-0.0956
mom_macd_line_8_21_5,False,0.0063,5698,11,0.364,0.0708,0.1046,-0.2555,-0.2555,False,0.02573,-0.0681,0.0646,0.0488,0.0178,-0.0265,-0.2253,0.0206,-0.022,-0.0044,-0.0246,-0.2555
mom_roc_20,False,0.0013,5698,11,0.364,0.0704,0.1122,-0.2699,-0.2556,False,0.02559,-0.0486,0.0198,0.0449,-0.0078,0.0312,-0.2699,0.0482,-0.0291,-0.005,-0.014,-0.2556
stat_return_20,False,0.0013,5698,11,0.364,0.0704,0.1122,-0.2699,-0.2556,False,0.02559,-0.0486,0.0198,0.0449,-0.0078,0.0312,-0.2699,0.0482,-0.0291,-0.005,-0.014,-0.2556
mr_rsi_extreme_21,False,-0.0545,5718,11,0.455,0.0558,0.068,-0.0496,0.0326,False,0.02537,-0.0962,-0.0268,0.0496,0.0091,0.0201,0.0171,-0.0765,-0.1397,-0.1187,0.0275,0.0326
stat_return_5,False,0.0116,5713,11,0.455,0.0544,0.0619,-0.0732,-0.0543,False,0.02472,-0.0433,0.0206,-0.0631,-0.0732,0.074,-0.07,0.0768,-0.0065,0.0773,0.0392,-0.0543
mom_roc_5,False,0.0116,5713,11,0.455,0.0544,0.0619,-0.0732,-0.0543,False,0.02472,-0.0433,0.0206,-0.0631,-0.0732,0.074,-0.07,0.0768,-0.0065,0.0773,0.0392,-0.0543
mom_mom_5,False,0.0121,5713,11,0.455,0.0538,0.0611,-0.0917,-0.0544,False,0.02446,-0.0486,0.0265,-0.0511,-0.0917,0.0787,-0.0629,0.065,-0.0102,0.071,0.0316,-0.0544
interact_ret1_x_ret3,False,0.0228,5715,11,0.727,0.033,0.0341,-0.0345,-0.0019,False,0.02401,0.0151,0.0513,0.0221,0.0507,-0.0345,0.0017,0.0687,0.0357,0.0696,-0.0118,-0.0019
vol_volume_rel_5,False,0.0116,5714,11,0.636,0.0359,0.0418,-0.0413,0.1069,True,0.02285,-0.0161,-0.0254,0.041,0.0321,-0.0413,0.0454,-0.0182,0.0212,0.0148,0.0326,0.1069
mom_macd_hist_8_21_5,False,0.0084,5694,11,0.455,0.0499,0.0709,-0.1045,-0.0077,False,0.02268,-0.0074,-0.0065,-0.0352,-0.1045,0.139,-0.0774,0.1008,0.0181,0.0508,0.0013,-0.0077
vol_obv,False,0.0071,5717,11,0.182,0.1235,0.1264,-0.2751,-0.0175,False,0.02245,-0.1844,0.2011,-0.0685,-0.1014,-0.057,-0.1014,-0.2751,0.0226,-0.1934,-0.1357,-0.0175
stat_skew_10,False,0.0053,5708,11,0.455,0.0475,0.0642,-0.1537,0.0361,True,0.0216,-0.0575,-0.007,0.0546,0.059,0.0557,-0.0111,-0.0581,-0.0149,0.0149,-0.1537,0.0361
mom_macd_signal_8_21_5,False,0.0045,5694,11,0.273,0.0733,0.109,-0.2661,-0.2661,False,0.01999,-0.0342,0.0608,0.0567,0.0339,-0.0507,-0.2395,-0.0015,-0.0007,-0.035,-0.0271,-0.2661
stat_return_1,False,0.0126,5717,11,0.545,0.0317,0.0386,-0.0503,-0.0385,False,0.01727,-0.0096,0.0343,-0.0125,-0.0315,0.0004,-0.0503,0.0633,0.0122,0.0403,0.0553,-0.0385
rev_extension_z_3,False,-0.0018,5665,11,0.364,0.0461,0.0609,-0.0969,0.0167,False,0.01676,0.042,0.0244,0.0519,0.0969,-0.107,0.029,-0.0913,0.0009,-0.0061,-0.0407,0.0167
mr_pct_from_high_100,False,0.0114,5619,11,0.182,0.0884,0.1035,-0.2784,-0.2784,False,0.01608,-0.0495,0.096,0.0057,-0.0373,-0.0748,-0.2339,-0.0496,-0.0408,-0.0425,-0.0645,-0.2784
btc_funding_rate_8h_impulse,False,-0.0164,5628,11,0.727,0.0217,0.0288,-0.0354,0.0354,False,0.01581,-0.0723,-0.0207,-0.004,-0.0496,-0.0164,0.0012,-0.0286,-0.0029,-0.0035,0.0046,0.0354
mr_dist_vwap,False,0.0002,5718,11,0.091,0.1593,0.1226,-0.2588,-0.1834,False,0.01448,-0.2119,0.1345,-0.0418,-0.1904,-0.0908,-0.2478,-0.2588,-0.0082,-0.2428,-0.1416,-0.1834
interact_ret1_x_natr,False,0.0082,5705,11,0.455,0.0306,0.0388,-0.0557,-0.047,False,0.01392,-0.0062,0.026,-0.0119,-0.0355,-0.0042,-0.0557,0.0596,0.0018,0.0371,0.0519,-0.047
