feature,in_19col,ic_full,n_full,n_subperiods,frac_same_sign,mean_abs_ic,ic_dispersion,worst_signed_ic,recent_ic,recent_same_sign,stability_score,ic_2020-01-01,ic_2020-07-01,ic_2020-12-31,ic_2021-07-01,ic_2021-12-31,ic_2022-07-01,ic_2022-12-31,ic_2023-07-01,ic_2023-12-31,ic_2024-06-30,ic_2024-12-30
mom_stoch_k_14,False,-0.0129,5703,11,0.727,0.0866,0.094,-0.0915,-0.1292,True,0.06299,-0.1215,-0.0293,-0.0388,-0.1195,0.0663,-0.2045,0.0691,-0.0481,0.0915,-0.0348,-0.1292
vol_state_z_natr_30,False,0.052,5599,11,0.727,0.0852,0.0913,-0.0798,0.0301,True,0.06199,-0.0192,0.138,-0.0563,0.1067,0.0813,-0.0798,0.0602,0.0857,0.0376,0.2428,0.0301
mom_stoch_k_21,False,-0.0039,5696,11,0.727,0.0849,0.1133,-0.097,-0.2562,True,0.06177,-0.1121,-0.0223,-0.017,-0.081,0.0935,-0.2215,0.097,-0.0167,0.0149,-0.0018,-0.2562
mr_pct_from_low_100,False,0.0612,5619,11,0.636,0.0968,0.1358,-0.3149,-0.3149,False,0.06162,0.1729,0.0965,0.024,0.0465,0.016,-0.1536,-0.0361,0.0036,0.0946,-0.1063,-0.3149
vol_bb_bandwidth_20,False,0.038,5699,11,0.727,0.0835,0.0861,-0.1544,0.0777,True,0.06072,0.1376,0.0809,-0.0169,0.0127,0.0924,-0.1544,0.1088,0.1208,0.1005,-0.016,0.0777
mom_stoch_d_14,False,-0.0114,5701,11,0.727,0.0834,0.0943,-0.0793,-0.1296,True,0.06068,-0.1217,-0.0297,-0.0208,-0.0948,0.0622,-0.2231,0.0716,-0.0318,0.0793,-0.0531,-0.1296
vol_hist_20,False,0.0301,5698,11,0.818,0.0739,0.0791,-0.0729,0.0012,True,0.06047,0.2106,0.0525,0.0537,0.154,0.0752,-0.0729,0.0193,-0.013,0.0498,0.1106,0.0012
stat_kurtosis_20,True,-0.0458,5698,11,0.636,0.0948,0.1063,-0.1353,-0.2121,True,0.0603,0.0813,-0.1834,-0.0902,0.0028,-0.0703,-0.0277,0.0169,-0.1183,-0.1039,0.1353,-0.2121
stat_autocorr_lag1,True,0.0267,5668,11,0.636,0.0945,0.1093,-0.1405,0.1364,True,0.06011,0.0024,0.0501,-0.1278,-0.0102,-0.0276,-0.1405,0.1071,0.1439,0.1839,0.109,0.1364
trend_minus_di_21,False,-0.0545,5698,11,0.727,0.0796,0.0974,-0.2039,0.0743,False,0.05786,-0.0222,-0.115,-0.1271,-0.057,0.0467,0.2039,-0.0714,-0.0661,-0.0867,-0.0047,0.0743
stat_skew_30,False,0.0582,5688,11,0.727,0.0793,0.0785,-0.0684,0.1548,True,0.05765,0.0654,0.062,0.0939,0.1811,0.1186,0.0254,-0.0103,-0.0436,0.0485,-0.0684,0.1548
vol_bb_bandwidth_10,False,0.0327,5709,11,0.727,0.0792,0.0901,-0.1077,0.0128,True,0.05758,0.0019,0.15,0.0518,0.1814,-0.0357,-0.0647,0.1116,0.0621,0.0912,-0.1077,0.0128
vol_mfi_14,False,0.0326,5704,11,0.636,0.0893,0.1096,-0.1926,-0.1639,False,0.05684,0.0639,0.0369,0.1029,-0.0439,0.0602,-0.1926,0.0925,0.0193,0.1522,-0.0543,-0.1639
basis_zscore_30,False,-0.0455,5688,11,0.818,0.0681,0.0598,-0.0589,-0.0673,True,0.05571,-0.1464,-0.1033,0.0265,0.0589,-0.0699,-0.0118,-0.0639,-0.1061,-0.0309,-0.064,-0.0673
mr_pct_from_low_20,False,0.0277,5699,11,0.636,0.0872,0.1124,-0.2474,-0.1176,False,0.05552,0.106,0.0483,-0.0059,-0.0594,0.1351,-0.2474,0.083,0.0292,0.0433,0.0846,-0.1176
vol_cmf_10,True,-0.0255,5709,11,0.636,0.0868,0.0919,-0.0768,-0.0337,True,0.05523,-0.0641,-0.07,-0.1617,-0.1164,0.018,-0.1587,0.0768,-0.2018,0.0415,0.0119,-0.0337
stat_skew_50,False,0.0532,5668,11,0.727,0.0758,0.0899,-0.1397,-0.1397,False,0.05511,-0.0128,0.0503,0.0327,0.1284,0.0398,0.1344,0.0362,0.0323,0.1921,-0.035,-0.1397
mom_willr_21,False,-0.0007,5698,11,0.636,0.086,0.1082,-0.1016,-0.2345,True,0.05473,-0.1029,-0.0137,-0.0198,-0.0926,0.0794,-0.2036,0.1016,-0.0354,0.039,0.0235,-0.2345
