feature,trx_mean,bch_mean,ldo_mean,trx_std,bch_std,ldo_std,trx_vs_bch_meanZ,trx_vs_ldo_meanZ,std_ratio_max_min
ret_kurt_200,10.101592333960788,5.2311138824880326,3.748427753130767,16.940582742570463,3.8566513337345336,2.851303463549054,0.6178578835919188,0.8059480934231035,5.941346811778604
max_dd_window_50,-0.16893831697600323,-0.2182021093923926,-0.2617690494254685,0.11977581724760089,0.10929512579372909,0.09550378352586494,0.4553385250054942,0.858021819178029,1.2541473523419358
range_realized_vol_50,0.023536558228661065,0.029912358262369976,0.036253438641613366,0.016056464242572593,0.014328555823073835,0.011807850232633496,0.4533325172216715,0.9041963954846701,1.359812660749808
ema_spread_atr_20,0.29421621725622077,-0.08842003982135317,-0.23709407328210227,1.4214964116102564,1.4107879921238726,1.2902894744136333,0.27844468168717634,0.3866348836254473,1.101687985369523
hurst_100,0.9967120360198412,1.0105810345776371,1.0011981534817547,0.05626668393335492,0.04860588266486891,0.046470770232871134,0.2749179220213904,0.08892596573815867,1.2107973173544397
ret_skew_50,-0.25816978299385707,-0.04032593945293002,0.1352692189431777,1.0607725912866695,0.964645383212073,0.8583396080330354,0.2266249890703424,0.40929827561124327,1.2358425282476804
ret_skew_200,-0.1436878910339403,0.015863604818660254,0.22156254011397378,1.790291458669987,0.9581711094774028,0.60995825765713,0.14252367775951325,0.3262698006826622,2.9351048800397526
vwap_dev_20,0.14866452592353302,-0.026689854726543238,-0.11289225035774582,1.3468324309300517,1.296223503509198,1.2928378572060164,0.13365786014523678,0.19936267856349643,1.0417643816841227
ret_kurt_50,3.1276360974907718,2.7500790887752222,2.0537042651051007,4.471269145883728,2.891567324097212,2.7205974526550687,0.11232989027715533,0.31951372140442136,1.6434879557503643
sym_vs_btc_ret_7d,0.0013197578097300913,-0.007436626328190651,-0.015435618545652192,0.09459965877200435,0.09151285774899734,0.12229535173538657,0.08517666090128391,0.16298588408373282,1.3363734314889373
hurst_diff_100_50,-0.004232777656917663,0.003090007858978685,-0.013491593614116476,0.0994312775052318,0.09906975997284377,0.09205918151982644,0.07560689699179937,0.09559618301291616,1.0800799644717423
regime_momentum_signed_5d,0.006119875002505494,-0.0003928037385484346,-0.0022727651754673238,0.09368980623219623,0.11243281305489423,0.12624913763834678,0.058783683679672155,0.07575228643619906,1.3475226677858323
ret_autocorr_lag1_50,-0.020064290461107855,-0.020483812706791366,-0.01987142432563009,0.14432884029426327,0.14328990521305582,0.13950172001818092,0.0029466317786998944,0.0013546492222549552,1.0346025860860586
btc_ret_14d,0.017540106498865577,0.017523555991926308,0.021707092380917885,0.12817102468476113,0.12809507936224143,0.0961303746462654,0.00014089675640892072,0.03547412758638254,1.3333041211625039
