scope,top1_feature,top1_share_pct,top3_share_pct,total_features
BCHUSDT,max_dd_window_50,10.118163164225571,29.625698719309415,14
LDOUSDT,ret_skew_200,9.061162849232321,25.644978605587724,14
TRXUSDT,range_realized_vol_50,9.579015164822295,27.75338134551203,14
portfolio,ret_skew_200,8.822782398882467,25.819099625373035,14
