quarter,split,n_trades,n_long,n_short,long_share,n_tp,n_sl,n_timeout,n_eod,tp_share,sl_share,win_rate,weighted_pnl
2022Q1,IS,5,0,5,0.0,2,3,0,0,0.4,0.6,0.2,-1.388
2022Q2,IS,1,0,1,0.0,1,0,0,0,1.0,0.0,1.0,6.8988
2022Q4,IS,3,2,1,0.6666666666666666,1,0,2,0,0.3333333333333333,0.0,0.6666666666666666,6.1631
2023Q1,IS,12,0,12,0.0,2,9,1,0,0.16666666666666666,0.75,0.16666666666666666,-10.738199999999999
2023Q2,IS,2,1,1,0.5,0,1,1,0,0.0,0.5,0.5,1.9560000000000002
2023Q3,IS,4,0,4,0.0,1,3,0,0,0.25,0.75,0.25,-1.8043
2023Q4,IS,15,12,3,0.8,3,12,0,0,0.2,0.8,0.2,-6.5534
2024Q1,IS,11,6,5,0.5454545454545454,1,9,1,0,0.09090909090909091,0.8181818181818182,0.18181818181818182,-6.724400000000001
2024Q2,IS,3,3,0,1.0,1,2,0,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.4495999999999999
2024Q3,IS,9,7,2,0.7777777777777778,4,5,0,0,0.4444444444444444,0.5555555555555556,0.2222222222222222,0.1561999999999999
2024Q4,IS,11,3,8,0.2727272727272727,3,8,0,0,0.2727272727272727,0.7272727272727273,0.18181818181818182,0.11550000000000005
2025Q1,IS,3,2,1,0.6666666666666666,3,0,0,0,1.0,0.0,0.6666666666666666,5.0179
2025Q2,OOS,8,2,6,0.25,4,4,0,0,0.5,0.5,0.5,1.3809999999999998
2025Q3,OOS,11,7,4,0.6363636363636364,4,7,0,0,0.36363636363636365,0.6363636363636364,0.36363636363636365,3.5808999999999997
2025Q4,OOS,9,4,5,0.4444444444444444,1,8,0,0,0.1111111111111111,0.8888888888888888,0.1111111111111111,-8.9866
2026Q1,OOS,13,11,2,0.8461538461538461,8,5,0,0,0.6153846153846154,0.38461538461538464,0.5384615384615384,8.5646
2026Q2,OOS,7,4,3,0.5714285714285714,2,3,1,1,0.2857142857142857,0.42857142857142855,0.42857142857142855,-0.37579999999999997
