symbol,n,fwd_ret_lowest_funding_decile,fwd_ret_highest_funding_decile,spread_low_minus_high,decile_monotonicity_ic
BTCUSDT,3567,0.3752,0.1778,0.1974,
ETHUSDT,3419,0.4627,-0.1051,0.5678,
LINKUSDT,3518,0.0606,0.249,-0.1884,
LTCUSDT,3527,0.1896,0.0694,0.1202,
DOTUSDT,2865,0.0568,0.5477,-0.4909,
BNBUSDT,3446,0.0383,0.2296,-0.1912,
SOLUSDT,2796,-0.2488,0.5329,-0.7817,
XRPUSDT,3412,0.1025,0.1426,-0.04,
DOGEUSDT,2993,0.4615,0.836,-0.3745,
NEARUSDT,2702,-0.4787,0.8606,-1.3393,
BCHUSDT,3567,0.6011,0.9065,-0.3053,
LDOUSDT,581,2.296,0.9674,1.3286,
TRXUSDT,3509,-0.0472,0.4364,-0.4837,
