symbol,deriv_only_cv_ic,n_folds
LDOUSDT,0.16831,5
LTCUSDT,0.05845,5
NEARUSDT,0.03842,5
BCHUSDT,0.03461,5
TRXUSDT,0.0338,5
ETHUSDT,0.02439,5
LINKUSDT,0.02384,5
SOLUSDT,-3e-05,5
DOGEUSDT,-0.00476,5
XRPUSDT,-0.00667,5
BTCUSDT,-0.04936,5
BNBUSDT,-0.05563,5
DOTUSDT,-0.07899,5
