symbol,full_ic,vol_low,vol_mid,vol_high,hurst_trend,hurst_range,btc_up,btc_down,adx_strong,adx_chop,best_regime,best_regime_ic
BTCUSDT,-0.07073,-0.12595,-0.2066,0.10657,-0.07073,,-0.09056,-0.04057,-0.00958,-0.13409,vol_high,0.10657
ETHUSDT,-0.00934,-0.19144,0.12877,0.02784,-0.00934,,-0.02895,-0.00129,-0.01081,-0.00541,vol_mid,0.12877
LINKUSDT,0.02017,-0.07194,0.0286,0.10621,0.02017,,-0.01033,0.06325,0.09495,-0.05963,vol_high,0.10621
LTCUSDT,0.04069,-0.03816,-0.08517,0.18455,0.04069,,0.00107,0.05237,0.12426,-0.04999,vol_high,0.18455
DOTUSDT,-0.10639,-0.15655,-0.22574,0.03394,-0.10639,,-0.11729,-0.11021,-0.14869,-0.10836,vol_high,0.03394
BNBUSDT,-0.00689,-0.15842,0.04444,0.05699,-0.00689,,-0.09216,0.08657,-0.02273,0.02621,btc_down,0.08657
SOLUSDT,-0.01752,0.1451,-0.0793,-0.1136,-0.01752,,-0.00125,-0.03052,-0.01717,-0.02226,vol_low,0.1451
XRPUSDT,0.00941,-0.05732,-0.03402,0.12589,0.00941,,0.01936,0.00646,0.02544,-0.02525,vol_high,0.12589
DOGEUSDT,0.00417,0.0217,0.0338,-0.0704,0.00417,,-0.04806,0.06057,0.06309,-0.06475,adx_strong,0.06309
NEARUSDT,0.00349,-0.1453,0.13138,-0.02146,0.00349,,0.00081,-0.03963,0.00408,-0.00204,vol_mid,0.13138
