symbol,best_label_config,best_cv_ic,ic_at_059_label,lift_vs_059,clears_genuine_060
BTCUSDT,fwd_sign_3,0.03393,-0.06857,0.1025,False
ETHUSDT,fwd_sign_9,0.05591,-0.00309,0.059,False
LINKUSDT,timeout_12,0.08338,0.02879,0.05459,True
LTCUSDT,fwd_sign_9,0.10278,0.0613,0.04148,True
DOTUSDT,tp3.0_sl1.5,0.09035,-0.05571,0.14606,True
BNBUSDT,timeout_45,0.0354,-0.03052,0.06592,False
SOLUSDT,timeout_45,0.08084,0.06266,0.01818,True
XRPUSDT,fwd_sign_6,0.10889,0.02225,0.08664,True
DOGEUSDT,timeout_45,0.05773,0.00568,0.05205,False
NEARUSDT,tp3.0_sl1.5,0.08496,0.03822,0.04674,True
BCHUSDT,tp3.0_sl1.5,0.05696,0.02542,0.03154,False
LDOUSDT,timeout_30,0.18335,0.17793,0.00542,True
TRXUSDT,fwd_sign_3,0.03781,0.02907,0.00874,False
