symbol,feature,ic_vs_tb_label,ic_vs_fwd_ret_3,third_1,third_2,third_3,sign_stable
BTCUSDT,funding_rate_zscore_30,-0.08273,-0.06923,-0.06387,-0.12743,-0.05358,True
BTCUSDT,funding_momentum_3,-0.03823,-0.03142,-0.03005,-0.0602,-0.02734,True
BTCUSDT,funding_accel_3,-0.01704,-0.01097,-0.02889,-0.02128,-0.00668,True
BTCUSDT,funding_sign_persist_9,-0.04127,-0.0249,-0.04797,-0.14239,0.04324,False
BTCUSDT,funding_price_divergence_6,-0.0338,-0.04586,-0.08,-0.05233,0.02648,False
BTCUSDT,btc_funding_rate_zscore_30,-0.08273,-0.06923,-0.06387,-0.12743,-0.05358,True
BTCUSDT,basis_zscore_30,-0.0388,-0.0435,-0.01076,-0.09438,-0.0088,True
BTCUSDT,basis_momentum_3,-0.0201,-0.02643,-0.01414,-0.01744,-0.02598,True
BTCUSDT,basis_extreme_flag,0.00976,0.00823,-0.08211,-0.03046,0.07014,False
ETHUSDT,funding_rate_zscore_30,-0.08402,-0.08164,-0.03898,-0.15543,-0.05446,True
ETHUSDT,funding_momentum_3,-0.02565,-0.03075,-0.02877,-0.023,-0.01668,True
ETHUSDT,funding_accel_3,0.00354,0.00882,-0.00908,0.02639,-0.00672,True
ETHUSDT,funding_sign_persist_9,-0.01171,-0.02765,-0.04616,-0.0538,-0.02455,True
ETHUSDT,funding_price_divergence_6,-0.05278,-0.06398,-0.0125,-0.09096,-0.05267,True
ETHUSDT,btc_funding_rate_zscore_30,-0.05342,-0.04601,-0.07237,-0.03458,-0.04439,True
ETHUSDT,basis_zscore_30,-0.05721,-0.01725,-0.02559,-0.11701,-0.02697,True
ETHUSDT,basis_momentum_3,-0.00503,0.00401,-0.00628,-0.01753,0.00981,True
ETHUSDT,basis_extreme_flag,0.03116,-0.00728,0.0328,-0.00837,0.03999,True
LINKUSDT,funding_rate_zscore_30,-0.04684,0.00168,-0.01813,-0.08802,-0.03726,True
LINKUSDT,funding_momentum_3,-0.01477,0.01764,0.00208,-0.02525,-0.0186,True
LINKUSDT,funding_accel_3,-0.00647,0.00659,-0.01259,-0.01399,-0.00407,True
LINKUSDT,funding_sign_persist_9,-0.01457,-0.0224,-0.00145,-0.03969,-0.06586,True
LINKUSDT,funding_price_divergence_6,0.01425,-0.01633,0.03632,-0.0001,0.00028,True
LINKUSDT,btc_funding_rate_zscore_30,-0.05553,-0.03772,-0.05914,-0.06334,-0.04686,True
LINKUSDT,basis_zscore_30,-0.01835,0.03521,0.01582,-0.05815,-0.01261,True
LINKUSDT,basis_momentum_3,0.00459,0.03227,0.02279,-0.01592,0.00284,True
LINKUSDT,basis_extreme_flag,-0.02179,-0.02828,-0.02325,-0.01658,-0.0358,True
LTCUSDT,funding_rate_zscore_30,-0.02524,-0.03192,-0.04355,-0.01056,-0.01823,True
LTCUSDT,funding_momentum_3,-0.00237,-0.00284,-0.01411,0.02132,-0.00734,True
LTCUSDT,funding_accel_3,-0.00964,0.00901,-0.01643,0.0246,-0.03046,False
LTCUSDT,funding_sign_persist_9,-0.02182,-0.03201,-0.00177,-0.05393,-0.046,True
LTCUSDT,funding_price_divergence_6,-0.0285,-0.04926,-0.07767,-0.01748,0.00892,True
LTCUSDT,btc_funding_rate_zscore_30,-0.05534,-0.05827,-0.05961,-0.10372,-0.00677,True
LTCUSDT,basis_zscore_30,-0.01876,-0.03821,-0.02584,0.00479,-0.03555,True
LTCUSDT,basis_momentum_3,-0.00732,-0.02006,0.00322,0.01133,-0.03803,True
LTCUSDT,basis_extreme_flag,-0.01652,-0.01994,-0.12034,0.07468,-0.05049,False
DOTUSDT,funding_rate_zscore_30,-0.03123,-0.00316,-0.02776,-0.02675,0.00776,True
DOTUSDT,funding_momentum_3,0.0085,-0.00075,-0.03292,0.0616,0.00599,False
DOTUSDT,funding_accel_3,0.00445,-0.01717,-0.02118,0.01754,0.00572,True
DOTUSDT,funding_sign_persist_9,0.01338,-0.01247,-0.01402,0.0578,-0.12981,False
DOTUSDT,funding_price_divergence_6,-0.04254,-0.01144,-0.06755,0.02113,-0.07977,False
DOTUSDT,btc_funding_rate_zscore_30,-0.0296,-0.01216,-0.00619,-0.03435,-0.04411,True
DOTUSDT,basis_zscore_30,0.00693,0.01484,0.02113,0.00253,-0.00793,True
DOTUSDT,basis_momentum_3,0.01724,-0.00336,0.04409,0.03915,-0.04198,False
DOTUSDT,basis_extreme_flag,-0.0007,0.00457,-0.12859,0.06892,-0.04143,False
BNBUSDT,funding_rate_zscore_30,-0.00353,0.0082,-0.00851,-0.00453,0.00907,True
BNBUSDT,funding_momentum_3,0.01618,-0.00784,-0.04555,0.05099,0.04024,False
BNBUSDT,funding_accel_3,-0.02333,-0.01622,-0.05258,0.01512,-0.04377,True
BNBUSDT,funding_sign_persist_9,0.00787,-0.00791,0.0027,0.08372,-0.12229,False
BNBUSDT,funding_price_divergence_6,-0.05891,-0.01149,-0.06132,0.01293,-0.12516,True
BNBUSDT,btc_funding_rate_zscore_30,-0.05197,-0.04627,-0.04712,0.04009,-0.15853,False
BNBUSDT,basis_zscore_30,-0.01778,-0.00503,0.03695,-0.0223,-0.07029,False
BNBUSDT,basis_momentum_3,0.01886,0.00929,0.00659,0.01091,0.03745,True
BNBUSDT,basis_extreme_flag,0.01377,-0.00892,-0.00161,0.10042,-0.10657,False
SOLUSDT,funding_rate_zscore_30,0.04517,0.02055,0.06114,0.0013,0.07609,True
SOLUSDT,funding_momentum_3,0.0009,0.01196,-0.00375,0.00643,0.00164,True
SOLUSDT,funding_accel_3,0.00726,0.01446,0.00377,-0.00916,0.01702,True
SOLUSDT,funding_sign_persist_9,0.001,-0.01085,-0.06002,0.00115,-0.00154,True
SOLUSDT,funding_price_divergence_6,-0.0067,-0.00274,0.00256,0.05413,-0.06295,False
SOLUSDT,btc_funding_rate_zscore_30,0.01957,-0.0325,-0.01645,0.0679,0.01446,True
SOLUSDT,basis_zscore_30,0.05433,-0.00026,0.06955,0.00542,0.09263,True
SOLUSDT,basis_momentum_3,0.00791,-0.01598,0.00966,0.01885,-0.00295,True
SOLUSDT,basis_extreme_flag,0.05434,0.02119,0.05826,0.0133,-0.01395,True
XRPUSDT,funding_rate_zscore_30,-0.05579,-0.04866,-0.07017,-0.06664,-0.03418,True
XRPUSDT,funding_momentum_3,-0.00162,-0.0338,-0.0083,0.00611,-0.00221,True
XRPUSDT,funding_accel_3,0.00737,-0.00987,-0.01119,0.01742,0.01376,True
XRPUSDT,funding_sign_persist_9,-0.05365,-0.02081,-0.15747,-0.05933,0.01386,True
XRPUSDT,funding_price_divergence_6,-0.02218,0.00887,-0.08765,-0.01466,0.03604,False
XRPUSDT,btc_funding_rate_zscore_30,-0.08376,-0.05093,-0.04916,-0.06554,-0.132,True
XRPUSDT,basis_zscore_30,-0.02617,-0.05111,0.00358,-0.01904,-0.06153,True
XRPUSDT,basis_momentum_3,-0.00994,-0.06342,0.01077,-0.00585,-0.04595,True
XRPUSDT,basis_extreme_flag,-0.04222,-0.00852,-0.06081,-0.01627,-0.06343,True
DOGEUSDT,funding_rate_zscore_30,0.02263,0.00715,-0.00404,-0.0258,0.09876,False
DOGEUSDT,funding_momentum_3,0.04102,0.02801,0.0396,0.02902,0.05334,True
DOGEUSDT,funding_accel_3,0.02833,0.01816,0.02284,0.01249,0.04983,True
DOGEUSDT,funding_sign_persist_9,-0.0085,-0.00352,0.01529,-0.04053,-0.01087,True
DOGEUSDT,funding_price_divergence_6,-0.03282,0.00576,0.00502,-0.11329,0.01508,True
